編 號,交 易 人 名 稱,交 易 往 來 對 象,與交易人之關係（註一）,交 易 往 來 情 形,,,
,,,,科 目,金 額,"交 易 條 件
（ 註 二 ）","佔合併總營收或
總 資 產 之 比 率"
"0
1","台積公司
台積電中國子公司","TSMC North America
JASM
台積電中國子公司
台積電南京子公司
台積電南京子公司","1
1
1
1
3","商品銷售收入
應收關係人款項
其他應收關係人款項
應付費用及其他流動負債
其他非流動負債
其他非流動資產
進 貨
進 貨
應付關係人款項
其他應收關係人款項","$ 413,422,027
133,875,641
3,827,581
171,255,226
61,261,940
13,978,689
6,358,845
18,152,177
5,444,139
39,258,965","－
－
－
－
－
－
－
－
－
－","70%
2%
-
3%
1%
-
1%
3%
-
1%"
