進（銷）貨之公司,交 易 對 象 名 稱,關 係,交 易 情 形,,,,"交 易 條 件 與 一 般 交 易
不 同 之 情 形 及 原 因",,應 收 （ 付 ） 票 據 、 帳 款,,備 註
,,,進（銷）貨,"金 額
（外幣為仟元）","佔總進（銷）
貨 之 比 率
（ ％ ）",授 信 期 間,單 價,授 信 期 間,"餘 額
（外幣為仟元）","佔 總 應 收
（付）票據、
帳款之比率
（ ％ ）",
"台積公司
TSMC North
America
采鈺公司","TSMC North America
TSMC Arizona
JASM
創意公司
台積電南京子公司
台積電中國子公司
TSMC Washington
SSMC
世界先進公司
創意公司
精材公司","子 公 司
子 公 司
子 公 司
關聯企業
子 公 司
子 公 司
間接持有之子公司
關聯企業
關聯企業
台積公司之關聯企業
台積公司之關聯企業","銷 貨
銷 貨
銷 貨
銷 貨
進 貨
進 貨
進 貨
進 貨
進 貨
銷 貨
銷 貨","$ 413,422,027
365,943
181,670
1,547,617
18,152,177
6,358,845
1,157,160
1,014,527
138,240
1,908,392
( USD 60,773 )
122,891","70
-
-
-
42
15
3
2
-
-
6","發票日後30天（註）
月結30天
月結30天
發票日後30天
月結30天
月結30天
月結30天
月結30天
月結30天
發票日後30天
月結60天","-
-
-
-
-
-
-
-
-
-
-","－
－
－
－
－
－
－
－
－
－
－","$ 133,875,641
-
-
60,395
( 5,444,139 )
( 2,237,990 )
( 369,386 )
( 330,709 )
( 40,757 )
340,128
( USD 10,630 )
78,840","73
-
-
-
9
4
1
1
-
-
8",
