"投資公司
名 稱","被投資公司
名 稱","所在
地區","主要營
業項目",原始投資金額,,期末持有,,,"被投資公司
本期損益","本期認列之
投資損益",備註
,,,,本期期末,去年年底,股數,比率,帳面金額,,,
"廣達電腦
(股)公司
〞
〞
〞
〞
〞
〞
〞
〞
〞
廣明光電
(股)公司
〞
〞
〞
〞
〞
QSI
(CAYMAN)
QSL (BVI)
〞
達明機器人
(股)公司
JVM
達啟投資
(股)公司
〞","鼎天國際(股)公司
及其子公司
雲達科技(股)公司
及其子公司
賀毅科技(股)公司
QT Medical, Inc.
QMB Co., Ltd.
Quanta Cloud
Technology
Singapore Pte. Ltd.
雲象科技股份有限
公司
萊昂仕科技(股)公
司
QMH COMPUTER
CO. LTD.
QSDC Pte. Ltd.
QSI (CAYMAN)
恩悠數位(股)公司
賀毅科技(股)公司
TMT
達明機器人(股)公
司
JVM
QSL (BVI)
QHH
達明(香港)公司
TRH
JVMT
廣明光電(股)公司
及其子公司
鼎天國際(股)公司
及其子公司","台灣
台灣
台灣
美國
泰國
新加坡
台灣
台灣
越南
新加坡
開曼
台灣
台灣
泰國
台灣
馬來西亞
BVI
香港
香港
香港
泰國
台灣
台灣","衛星導引航向
系統設備及其
零組件既導航
用地圖及數位
地圖之設計、
製造、加工、
代理及買賣
電腦及其周邊
設備買賣
電子零組件製
造
醫療器材研發
及製造
電腦及周邊設
備及消費性產
品之製造及銷
售
電腦周邊設備
買賣及維修
醫療器材研發
及製造
電腦及周邊設
備買賣
電腦及周邊設
備及消費性產
品之製造及銷
售
電子產品研發
投資業
電腦及其周邊
設備批發零售
業
電子零組件製
造
電腦周邊儲存
裝置及相關零
組件之製造及
銷售
工業用協作機
器人製造及銷
售
電腦周邊儲存
裝置及相關零
組件之銷售
投資業
投資業
投資業
投資業
電腦周邊儲存
裝置及相關零
組件之銷售
電腦周邊儲存
裝置製造及銷
售
衛星導引航向
系統設備及其
零組件既導航
用地圖及數位
地圖之設計、
製造、加工、
代理及買賣","807,586
741,995
125,625
132,780
3,244,737
83,013
341,894
173,632
2,324,350
48,285
1,345,467
86,709
10,978
1,446,975
616,960
15,214
1,013,417
919,735
-
120,943
5,119
33,526
8,571","807,586
741,995
125,625
132,780
3,244,737
83,013
341,894
173,632
2,324,350
48,285
1,345,467
86,709
10,978
1,446,975
616,960
15,214
1,013,417
919,735
109,833
120,943
5,119
33,526
8,571","18,603,598
48,200,000
8,375,000
2,192,315
599,999,997
2,500,000
13,352,858
4,574,146
-
1,500,000
-
3,862,227
1,001,000
15,999,998
70,457,000
2,040,000
-
-
-
-
-
1,212,000
409,194","36.76%
100.00%
25.00%
10.83%
100.00%
100.00%
15.03%
16.67%
100.00%
100.00%
100.00%
29.80%
2.98%
100.00%
78.29%
51.00%
100.00%
100.00%
100.00%
100.00%
100.00%
0.44%
0.81%","146,220
58,478
-
100,766
4,937,836
(14,166)
197,470
101,974
1,260,082
46,557
1,636,157
21,596
-
2,374,207
1,412,053
24,092
1,611,203
1,601,921
-
29,082
4,735
40,640
22,569","(7,561)
(88,378)
12,740
(12,229)
250,498
(7,288)
(40,681)
(19,064)
(229,585)
(2,187)
17,606
(111)
12,740
63,144
65,763
956
17,328
17,395
(65)
2,987
1
267,675
(7,561)","(2,779)
(88,378)
-
(1,324)
221,373
(7,288)
(7,152)
(5,085)
(259,201)
(2,187)
17,636
(205)
-
63,750
51,830
487
註3
〞
〞
〞
〞
1,165
(61)","註2
註1
註1
註1
註1
註1
註4"
