進（銷）貨之公司,交易對象名稱,關係,交易情形,,,,"交易條件與一般交易不同
之情形及原因",,應收（付）票據、帳款,,備註
,,,進（銷）貨,金額,"佔總進（銷）貨
之比率",授信期間,單價,"授信
期間",餘額,"佔總應收
（付）票據、帳款
之比率",
"Delta Electronics Int’l (Singapore) Pte.
Ltd.",DELTA ELECTRONICS BRASIL LTDA.,聯屬公司,營業收入,"$ 1 24,615",0 .20,貨到月結90天,,,"$ 1 80,053",0 .30,
"Delta Electronics Int’l (Singapore) Pte.
Ltd.",台達電子(東莞)有限公司,聯屬公司,營業收入,"6 ,439,757",1 0.24,月結70天,,,"5 ,362,791",8 .85,
"Delta Electronics Int’l (Singapore) Pte.
Ltd.",Delta Electronics ( Switzerland ) AG,聯屬公司,營業收入,"2 57,886",0 .41,月結70天,,,"3 17,309",0 .52,
"Delta Electronics Int’l (Singapore) Pte.
Ltd.",中達電子(江蘇)有限公司,聯屬公司,營業收入,"5 ,323,626",8 .46,月結70天,,,"2 ,322,757",3 .83,
"Delta Electronics Int’l (Singapore) Pte.
Ltd.",中達電子(蕪湖)有限公司,聯屬公司,營業收入,"8 05,419",1 .28,月結70天,,,"6 03,729",1 .00,
"Delta Electronics Int’l (Singapore) Pte.
Ltd.",台達電子(郴州)有限公司,聯屬公司,營業收入,"8 79,615",1 .40,月結70天,,,"1 ,093,985",1 .81,
"Delta Electronics Int’l (Singapore) Pte.
Ltd.",乾坤科技股份有限公司,聯屬公司,營業收入,"9 59,182",1 .53,月結70天,,,"1 ,630,273",2 .69,
"Delta Electronics Int’l (Singapore) Pte.
Ltd.",吳江華豐電子科技有限公司,聯屬公司,營業收入,"2 73,349",0 .43,月結70天,,,"2 72,646",0 .45,
"Delta Electronics Int’l (Singapore) Pte.
Ltd.",Delta Electronics India Pvt. Ltd.,聯屬公司,營業收入,"4 37,717",0 .70,貨到月結90天,,,"5 34,658",0 .88,
"Delta Electronics Int’l (Singapore) Pte.
Ltd.","DELTA ELECTRONICS INDIA MANUFACTURING
PRIVATE LIMITED",聯屬公司,營業收入,"1 65,274",0 .26,貨到月結90天,,,"3 16,010",0 .52,
"Delta Electronics Int’l (Singapore) Pte.
Ltd.","Delta Electronics (Japan), Inc.",聯屬公司,營業收入,"5 52,308",0 .88,月結70天,,,"5 46,607",0 .90,
"Delta Electronics Int’l (Singapore) Pte.
Ltd.",Delta Electronics (Netherlands) B.V.,聯屬公司,營業收入,"7 55,483",1 .20,月結70天,,,"7 23,932",1 .20,
"Delta Electronics Int’l (Singapore) Pte.
Ltd.",DELTA ELECTRONICS (NORWAY) AS,聯屬公司,營業收入,"2 47,068",0 .39,月結70天,,,"7 2,675",0 .12,
"Delta Electronics Int’l (Singapore) Pte.
Ltd.","Delta Electronics (Slovakia), s.r.o.",聯屬公司,營業收入,"1 31,853",0 .21,月結70天,,,"1 06,214",0 .18,
"Delta Electronics Int’l (Singapore) Pte.
Ltd.","Delta Electronics (Thailand) Public
Company Limited",聯屬公司,營業收入,"1 ,508,751",2 .40,月結70天,,,"1 ,486,826",2 .45,
"Delta Electronics Int’l (Singapore) Pte.
Ltd.",台達電子工業股份有限公司,最終母公司,營業收入,"6 ,935,385",1 1.03,月結70天,,,"7 ,229,235",1 1.93,
"Delta Electronics Int’l (Singapore) Pte.
Ltd.",DEI Logistics (USA) Corp.,聯屬公司,營業收入,"4 ,696,584",7 .47,貨到月結90天,,,"7 ,912,498",1 3.06,
"Delta Electronics Int’l (Singapore) Pte.
Ltd.",Delta Electronics (Americas) Ltd.,聯屬公司,營業收入,"9 49,088",1 .51,月結70天,,,"9 58,811",1 .58,
"Delta Electronics Int’l (Singapore) Pte.
Ltd.",DELTA ELECTRONICS (USA) INC.,聯屬公司,營業收入,"1 ,985,281",3 .16,月結70天,,,"1 ,968,638",3 .25,
"Delta Electronics (Slovakia), s.r.o.",Delta Electronics (Netherlands) B.V.,聯屬公司,營業收入,"2 05,929",2 4.09,月結70天,,,"2 61,003",2 4.14,
