進（銷）貨之公司,交易對象名稱,關係,交易情形,,,,"交易條件與一般交易不同
之情形及原因",,應收（付）票據、帳款,,備註
,,,進（銷）貨,金額,"佔總進（銷）貨
之比率",授信期間,單價,"授信
期間",餘額,"佔總應收
（付）票據、帳款
之比率",
中達電子(蕪湖)有限公司,"Delta Electronics Int’l (Singapore)
Pte. Ltd.",聯屬公司,營業收入,"$ 1 ,205,114",9 6.12,月結70天,,,"$ 8 48,303",9 1.12,
台達電子(郴州)有限公司,台達電子企業管理(上海)有限公司,聯屬公司,營業收入,"1 77,764",1 2.71,月結70天,,,"1 69,185",1 7.71,
台達電子(郴州)有限公司,"Delta Electronics Int’l (Singapore)
Pte. Ltd.",聯屬公司,營業收入,"1 ,221,009",8 7.29,月結70天,,,"7 86,258",8 2.29,
郴州台達科技有限公司,台達電子(東莞)有限公司,聯屬公司,營業收入,"5 05,292",5 3.20,月結70天,,,"3 79,135",6 3.46,
郴州台達科技有限公司,"Delta Electronics Int’l (Singapore)
Pte. Ltd.",聯屬公司,營業收入,"3 44,392",3 6.26,月結70天,,,"1 16,815",1 9.55,
台達電子(重慶)有限公司,"Delta Electronics Int’l (Singapore)
Pte. Ltd.",聯屬公司,營業收入,"2 51,609",9 9.90,月結70天,,,"1 21,597",9 9.74,
乾坤科技股份有限公司,台達電子工業股份有限公司,最終母公司,營業收入,"7 48,825",2 6.48,月結70天,,,"7 86,326",3 4.57,
吳江華豐電子科技有限公司,"Delta Electronics Int’l (Singapore)
Pte. Ltd.",聯屬公司,營業收入,"3 ,691,216",9 8.04,月結70天,,,"1 ,303,056",9 3.90,
華豐電子科技(蕪湖)有限公司,"Delta Electronics Int’l (Singapore)
Pte. Ltd.",聯屬公司,營業收入,"1 ,390,238",1 00.00,月結70天,,,"4 98,650",1 00.00,
Delta Energy Systems (Germany) GmbH,"Delta Electronics (Thailand) Public
Company Limited",聯屬公司,營業收入,"4 46,510",8 8.14,月結70天,,,"1 91,510",3 1.28,
DELTA Electronics (Germany) GmbH,Delta Electronics (Netherlands) B.V.,聯屬公司,營業收入,"1 31,069",2 2.60,月結70天,,,"9 1,654",2 4.49,
Delta Electronics India Pvt. Ltd.,"Delta Electronics Int’l (Singapore)
Pte. Ltd.",聯屬公司,營業收入,"1 ,035,862",3 1.30,月結70天,,,"1 ,066,091",3 3.20,
"DELTA ELECTRONICS INDIA MANUFACTURING
PRIVATE LIMITED",Delta Electronics India Pvt. Ltd.,聯屬公司,營業收入,"4 53,689",6 9.64,月結70天,,,"9 1,720",4 2.12,
"Delta Electronics (Japan), Inc.","Delta Electronics Int’l (Singapore)
Pte. Ltd.",聯屬公司,營業收入,"3 57,325",2 7.37,月結70天,,,"1 22,944",1 9.84,
Delta Electronics (Netherlands) B.V.,Delta Electronics (Italy) S.r.l.,聯屬公司,營業收入,"1 07,734",5 .06,月結70天,,,"7 6,568",4 .06,
Delta Electronics (Netherlands) B.V.,"Delta Electronics Int’l (Singapore)
Pte. Ltd.",聯屬公司,營業收入,"2 96,008",1 3.92,月結70天,,,"1 20,149",6 .37,
Delta Electronics (Netherlands) B.V.,Delta Greentech Electronics Industry LLC,聯屬公司,營業收入,"2 75,595",1 2.95,月結180天,,,"4 48,832",2 3.78,
DELTA ELECTRONICS (NORWAY) AS,DELTA Electronics (Germany) GmbH,聯屬公司,營業收入,"1 85,846",1 6.81,月結70天,,,"1 05,817",1 0.45,
DELTA ELECTRONICS (NORWAY) AS,DELTA ELECTRONICS (France) SAS,聯屬公司,營業收入,"1 64,558",1 4.85,月結70天,,,"1 71,596",1 6.95,
DELTA ELECTRONICS (NORWAY) AS,"Delta Electronics Int’l (Singapore)
Pte. Ltd.",聯屬公司,營業收入,"1 48,887",1 3.45,月結70天,,,"5 0,323",4 .97,
