"投資公司
名 稱","被投資公司
名 稱","所在
地區","主要營
業項目",原始投資金額,,期末持有,,,"被投資公司
本期損益","本期認列之
投資損益",備註
,,,,本期期末,去年年底,股數,比率,帳面金額,,,
"廣達電腦
(股)公司
〞
〞
〞
〞
〞
〞","QCJ株式會社
QIL及其子公司
廣明光電(股)公司
及其子公司
廣達創業投資(股)
公司
QADC Corp.
達啟投資(股)公司
達威電子(股)公司
及其子公司","日本
開曼及美國
地區等
台灣
台灣
美國
台灣
台灣","電腦及通訊設
備維修及銷售
投資業、控股
公司及電腦周
邊設備買賣、
製造及維修
電腦周邊儲存
裝置製造及銷
售
創業投資業
電子產品研發
投資業
電子業及電子
產品進出口及
批發","3,115
48,216,228
243,142
2,000,133
33,205
600,000
232,750","3,115
45,025,227
243,142
2,000,133
33,205
600,000
232,750","200
145,207,733
82,881,664
200,000,000
1,000,000
60,000,000
17,500,000","100.00%
100.00%
29.78%
100.00%
100.00%
100.00%
75.19%","1,993
83,650,646
2,457,745
2,112,907
20,782
646,148
335,294","(223)
8,085,496
267,675
(82,037)
(1,408)
4,400
6,249","(223)
7,630,451
79,700
(82,037)
(1,408)
4,400
4,699",註1
