,FIH MOBILE LIMITED
,114年1月1日至3月31日
收入及其他營業收入,
繼續營業單位本期淨利(損),
其他綜合損益(稅後淨額）,
本期綜合損益總額,
綜合損益總額歸屬於非控制權益,
支付予非控制權益股利,
