持 有 之 公 司,有 價 證 券 種 類 及 名 稱,"與 有 價 證 券
發 行 人 之 關 係",帳 列 科 目,期 末,,,,備 註
,,,,"股數／單位
數 （ 仟 ）","帳 面 金 額
（外幣為仟元）",持股比率（％）,"公 允 價 值
（外幣為仟元）",
"TSMC Global
VTAF II
VTAF III
Emerging Fund","COMM 2015-CCRE22 Mortgage Trust
Morgan Stanley Capital I Trust 2018-H3
JPMDB Commercial Mortgage Securities
Trust 2019-COR6
GS Mortgage Securities Trust 2014-GC24
Morgan Stanley Capital I Trust 2019-H7
Bank 2019-BNK23
GS Mortgage Securities Trust 2014-GC26
Morgan Stanley Capital I Trust 2019-H6
BBCMS Mortgage Trust 2020-C7
Citigroup Commercial Mortgage Trust
2014-GC23
未上市（櫃）公司股權投資
Primavera Capital Fund II L.P.
未上市（櫃）公司股權投資
5V Technologies, Inc.
Aether Systems, Inc.
上市（櫃）公司股票
陞達科技股份有限公司
未上市（櫃）公司股權投資
LiquidLeds Lighting Corp.
相豐科技
Neoconix, Inc.
可轉換公司債
Movandi Corporation
Encharge AI, Inc.","－
－
－
－
－
－
－
－
－
－
－
－
－
－
－
－
－
－
－","透過其他綜合損益按公允
價值衡量之金融資產
〃
〃
〃
〃
〃
〃
〃
〃
〃
透過其他綜合損益按公允
價值衡量之金融資產
透過其他綜合損益按公允
價值衡量之金融資產
〃
透過其他綜合損益按公允
價值衡量之金融資產
透過其他綜合損益按公允
價值衡量之金融資產
〃
〃
透過損益按公允價值衡量
之金融資產
〃","-
-
-
-
-
-
-
-
-
-
-
1
1,085
882
1,952
1,701
4,147
-
-","USD 112
USD 105
USD 81
USD 61
USD 58
USD 46
USD 41
USD 32
USD 27
USD 18
USD 85,581
-
-
USD 3,406
USD 800
USD 337
USD 174
USD 4,218
USD 3,159","不適用
不適用
不適用
不適用
不適用
不適用
不適用
不適用
不適用
不適用
4
-
20
3
14
17
-
不適用
不適用","USD 112
USD 105
USD 81
USD 61
USD 58
USD 46
USD 41
USD 32
USD 27
USD 18
USD 85,581
-
-
USD 3,406
USD 800
USD 337
USD 174
USD 4,218
USD 3,159",
