持 有 之 公 司,有 價 證 券 種 類 及 名 稱,"與 有 價 證 券
發 行 人 之 關 係",帳 列 科 目,期 末,,,,備 註
,,,,"股數／單位
數 （ 仟 ）","帳 面 金 額
（外幣為仟元）",持股比率（％）,"公 允 價 值
（外幣為仟元）",
"Emerging Fund
TSMC Development
Growth Fund
Growth Fund","未上市（櫃）公司股權投資
Ayar Labs, Inc.
Empower Semiconductor, Inc.
Ethernovia Inc.
Lyte AI, Inc.
RiVos, Inc.
EdgeQ, Inc.
SiMa Technologies, Inc.
Xsight Labs Ltd.
NeuReality Ltd.
Ambiq Micro, Inc.
Atlas Magnetics, Co.
Kinara, Inc.
xMEMS Labs, Inc.
Reed Semiconductor Corp.
上市（櫃）公司股票
Astera Labs, Inc.
可轉換特別股
IMS Nanofabrication Global, LLC
未上市（櫃）公司股權投資
CNEX Labs, Inc.
上市（櫃）公司股票
Astera Labs, Inc.
Marvell Technology Group Ltd.","－
－
－
－
－
－
－
－
－
－
－
－
－
－
－
－
－
－
－","透過其他綜合損益按公允
價值衡量之金融資產
〃
〃
〃
〃
〃
〃
〃
〃
〃
〃
〃
〃
〃
透過其他綜合損益按公允
價值衡量之金融資產
透過損益按公允價值衡量
之金融資產
透過其他綜合損益按公允
價值衡量之金融資產
透過其他綜合損益按公允
價值衡量之金融資產
〃","345
868
1,021
1,128
2,568
1,176
564
500
122
3,318
1,500
2,015
3,000
500
744
-
33
319
27","USD 5,000
USD 5,000
USD 5,000
USD 5,000
USD 5,000
USD 4,771
USD 4,000
USD 4,000
USD 3,194
USD 3,000
USD 3,000
USD 3,000
USD 3,000
USD 2,000
USD 55,171
USD 432,795
USD 133
USD 23,631
USD 1,886","1
3
3
4
1
2
1
1
2
1
3
2
3
1
-
10
-
-
-","USD 5,000
USD 5,000
USD 5,000
USD 5,000
USD 5,000
USD 4,771
USD 4,000
USD 4,000
USD 3,194
USD 3,000
USD 3,000
USD 3,000
USD 3,000
USD 2,000
USD 55,171
USD 432,795
USD 133
USD 23,631
USD 1,886",
