,,SHARP CORPORATION,,,,
,,114年3月31日,,113年12月31日,,113年3月31日
流動資產,,"$ 218,205,334
105,540,506
(168,566,797)
(117,830,095)",,"$ 214,817,159",,"$ 209,433,222"
非流動資產,,,,"115,336,128
(182,761,452)
(113,614,212)",,"126,858,546"
流動負債,,,,,,"(181,119,506)"
非流動負債,,,,,,"(121,876,875)"
淨資產總額,,"37,348,948
2,189,200
86,040,786",,"33,777,623
52,329
81,154,971",,"33,295,387"
會計原則影響數,,,,,,"114,923"
"商標及其他無形、有形
淨資產公允價值調整",,,,,,"82,025,837"
調整後淨資產總額,,"$ 125,578,934",,"$ 114,984,923",,"$ 115,436,147"
,,,,,,
"占關聯企業淨資產之份
額",,"$ 41,857,684",,"$ 38,223,375",,"$ 38,361,130"
商譽,,"9,301,493",,"8,768,870",,"8,832,017"
其他,,"(12,608)",,"(2,826)",,"(875,980)"
關聯企業帳面價值,,"$ 51,146,569",,"$ 46,989,419",,"$ 46,317,167"
