持有之公司,"有價證券
種類及名稱","與有價證券
發行人之關係",帳列科目,期 末,,,,備 註
,,,,股 數,帳面金額,持股比率,公允價值(註1),
"本公司
〞
〞
〞
〞
〞
〞
〞
〞
〞
〞
〞
〞
〞
〞
〞
〞
〞
〞
〞
廣明光電(股)
公司
〞
〞
〞
〞
〞
〞
〞","普通股
長佳智能(股)公司
Amphastar Pharmaceuticals, Inc.
Plus Automation inc.
友達光電(股)公司
研晶光電(股)公司
Intelligo Technology Inc.
生華創業投資(股)公司
中華開發創新加速(股)公司
Vuzix, Corp.
其他
SBCVC Fund III, L.P.
Viscovery (Cayman) Holding
Company Ltd.
Translink Capital Partners II,
L.P.
PHI Fund, L.P.
Achi Capital Partners Fund L.P.
Matter Venture Partners Fund I,
L.P.
特別股
Tier IV , Inc.
Lumus, LTD.
Lumus, LTD.(C-1)
Cesium Astro, Inc.
SEEQC Inc.
普通股
台灣大哥大(股)公司
遠傳電信(股)公司
中華電信(股)公司
遠東新世紀(股)公司
受益憑證－基金
富邦吉祥貨幣市場基金
台新1699貨幣市場基金
永豐貨幣市場基金
統一強棒貨幣市場基金","-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-","強制透過損益按
公允價值衡量之
金融資產－非流
動
〞
〞
透過其他綜合損
益按公允價值衡
量之金融資產－
流動
透過其他綜合損
益按公允價值衡
量之金融資產－
非流動
〞
〞
〞
〞
〞
〞
〞
強制透過損益按
公允價值衡量之
金融資產－非流
動
〞
〞
透過其他綜合損
益按公允價值衡
量之金融資產－
非流動
〞
〞
〞
〞
透過其他綜合損
益按公允價值衡
量之金融資產－
流動
〞
〞
〞
強制透過損益按
公允價值衡量之
金融資產－流動
〞
〞
〞","2,573,000
39,622
13,505,692
355,144,245
638,085
415,516
3,545,123
23,663,143
7,692,307
-
1,000,391
-
-
-
-
125,000
93,347
317,460
1,116,021
705,556
2,556,000
3,709,000
2,720,000
80,000
36,437,711
46,926,829
30,239,869
58,285,773","200,179
38,140
139,507
4,776,690
9,788
83,103
3,039
245,457
521,064
13,168
-
159,272
363,649
181,909
566,140
278,375
88,710
301,691
664,100
166,025
297,774
341,228
349,520
2,632
597,363
666,521
440,344
1,017,687","2.65%
0.08%
0.82%
4.63%
2.75%
1.04%
16.00%
17.86%
10.44%
- %
4.52%
- %
- %
- %
- %
1.77%
1.92%
6.52%
3.74%
2.72%
0.07%
0.10%
0.04%
- %
- %
- %
- %
- %","200,179
38,140
139,507
4,776,690
9,788
83,103
3,039
245,457
521,064
13,168
-
159,272
363,649
181,909
566,140
278,375
88,710
301,691
664,100
166,025
297,774
341,228
349,520
2,632
597,363
666,521
440,344
1,017,687",
