114年3月31日 113年12月31日 113年3月31日,,,,
"$ 100,690,000
(1,018,039)",,"$ 88,610,000
(934,079)",,"$ 52,463,451
(261,960)"
"$ 99,671,961",,"$ 87,675,921",,"$ 52,201,491"
,,1.918%~2.188%,,1.538%~2.208%
