"取 得 不 動 產
之 公 司",財 產 名 稱,事 實 發 生 日,"交 易 金 額
（ 外 幣 為 仟 元 ）",價 款 支 付 情 形,交 易 對 象,關 係,交 易 對 象 為 關 係 人 者 ， 其 前 次 移 轉 資 料,,,,"價 格 決 定 之
參 考 依 據","取 得 目 的 及
使 用 之 情 形","其 他
約 定 事 項"
,,,,,,,所 有 人,"與 發 行 人
之 關 係",移 轉 日 期,金 額,,,
台積公司,不動產,,,,"睿普工程股份有限公司
亞翔工程股份有限公司
力福實業股份有限公司
麗明營造股份有限公司
利晉工程股份有限公司
元崇設計工程股份有限公司
帆宣系統科技股份有限公司
兆聯實業股份有限公司
奧璐佳瑙科技股份有限公司
台灣沃威沃股份有限公司
泛亞工程建設股份有限公司
潤弘精密工程事業股份有限公司
三福化工股份有限公司
施耐德電機股份有限公司
士林電機廠股份有限公司
西門子股份有限公司
所羅門股份有限公司
茂迅系統工程股份有限公司
浚清企業股份有限公司
台灣大林組營造股份有限公司
和淞科技股份有限公司
大三億營造股份有限公司
太丞股份有限公司
成信實業股份有限公司
信紘科技股份有限公司
東鋼鋼結構股份有限公司
晃誼科技股份有限公司
盛英股份有限公司
漢唐集成股份有限公司
慧盛材料股份有限公司
瑋祥科技股份有限公司
沃亞科技股份有限公司
漢科系統科技股份有限公司
勇日企業股份有限公司
洋基工程股份有限公司
英寶科技股份有限公司
永青營造工程股份有限公司
兆承實業有限公司
等96家（註）",,,,,,,,
