"進(銷)貨
之公司",交易對象名稱,關 係,交易情形,,,,"交易條件與一般交易不同
之情形及原因",,應收(付)票據、帳款,,備註
,,,進(銷)貨,金 額,"佔總進
(銷) 貨
之比率","授信
期間",單 價,授信期間,餘 額,"佔總應收
(付)票據、帳
款之比率",
"廣達電腦(股)公
司
〞
〞
〞
〞
〞
〞
廣明光電(股)公
司
〞
QSS
TMT
達明機器人(股)
公司
QCH
〞
〞
QCT-USA
QCTK
QCTJ
QDL(HK)
〞
QMB
〞
〞
〞
QMN
達功(上海)電腦
有限公司
〞
〞
〞
達豐(上海)電腦
有限公司
達豐(重慶)電腦
有限公司
〞","達功(上海)電
腦有限公司
達豐(上海)電
腦有限公司
達豐(重慶)電
腦有限公司
QMB
QCH
QDL(HK)
QMH
TMT
QSS
廣明光電(股)
公司
〞
ORT
廣達電腦(股)
公司
〞
QMN
廣達電腦(股)
公司
〞
〞
〞
〞
〞
達功(上海)電
腦有限公司
〞
達豐(重慶)電
腦有限公司
QCH
廣達電腦(股)
公司
達群(上海)電
腦有限公司
QMB
〞
廣達電腦(股)
公司
〞
QMB","聯屬公司
〞
〞
最終母公司
與本公司相
同
聯屬公司
〞
最終母公司
與本公司相
同
聯屬公司
〞
最終母公司
與本公司相
同
〞
其他關係人
本公司之最
終母公司
〞
聯屬公司
本公司之最
終母公司
〞
〞
〞
〞
〞
最終母公司
與本公司相
同
〞
〞
聯屬公司
本公司之最
終母公司
聯屬公司
最終母公司
與本公司相
同
〞
本公司之最
終母公司
〞
最終母公司
與本公司相
同","進貨
〞
〞
〞
〞
〞
〞
〞
〞
銷貨
〞
〞
進貨
銷貨
進貨
〞
〞
〞
銷貨
進貨
銷貨
〞
進貨
〞
銷貨
〞
〞
〞
進貨
銷貨
〞
〞","92,009,961
217,284
96,059,549
40,669,116
15,803,501
2,267,133
7,838,588
973,613
699,856
(699,856)
(973,613)
(106,256)
164,039,853
(15,803,501)
2,580,817
773,540
7,169,751
935,880
(2,267,133)
167,324
(40,669,116)
(1,424,746)
101,529
1,972,765
(2,580,817)
(92,009,961)
(5,122,879)
(101,529)
1,424,746
(217,284)
(96,059,549)
(1,972,765)","29.92%
0.07%
31.23%
13.22%
5.14%
0.74%
2.55%
55.70%
40.04%
(99.36)%
(96.93)%
(23.68)%
53.10%
(4.99)%
0.84%
88.20%
99.49%
100.00%
(44.86)%
3.31%
(95.21)%
(3.34)%
0.24%
4.67%
(100.00)%
(94.49)%
(5.26)%
(0.10)%
1.50%
(53.46)%
90.67%
1.86%","月結45-120天
〞
〞
〞
〞
〞
〞
月結90天
〞
〞
〞
月結60天
月結120天
月結45-120天
月結120天
〞
〞
〞
月結45-120天
月結120天
月結45-120天
〞
月結45天
月結45-120天
月結120天
月結45-120天
月結45天
〞
月結45-120天
〞
〞
月結45天","-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-","-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-","(23,727,067)
(8,456,029)
(39,629,400)
-
-
(3,818,131)
-
(1,261,136)
(1,033,560)
1,033,560
1,261,136
50,953
(195,635,336)
-
(2,523,860)
(679,563)
(7,306,960)
(1,434,869)
3,818,131
-
-
1,036,229
(32,984)
(1,626,962)
2,523,860
23,727,067
5,547,688
32,984
(1,036,229)
8,456,029
39,629,400
1,626,962","(13.92)%
(4.96)%
(23.25)%
- %
- %
(2.24)%
- %
(42.71)%
(35.00)%
98.86%
99.62%
18.59%
(66.87)%
- %
(0.86)%
(100.00)%
(100.00)%
(100.00)%
83.12%
- %
- %
3.00%
(0.07)%
(3.34)%
99.74%
62.44%
14.60%
0.09%
(1.94)%
82.33%
49.93%
2.05%",
