,,114年3月31日,,113年12月31日,,113年3月31日
流動,,"$ 4,953,723",,"$ 2,855,829",,"$ 1,661,278"
非流動,,"$ 8,671,452",,"$ 5,382,688",,"$ 2,252,630"
