帳列應收款項之公司,交易對象名稱,關係,"應收關係人款項
餘額（註1）",週轉率,逾期應收關係人款項,,"應收關係人款項
期後收回金額
(註2)",提列備抵呆帳金額
,,,,,金額,處理方式,,
台達電子工業股份有限公司,中達電子(江蘇)有限公司,子公司,"$ 1 33,912",1 .73,$ -,,$ -,
台達電子工業股份有限公司,台達電子企業管理(上海)有限公司,子公司,"2 35,768",0 .81,-,,-,
台達電子工業股份有限公司,Delta Electronics India Pvt. Ltd.,子公司,"1 47,054",2 .57,-,,-,
台達電子工業股份有限公司,Delta Electronics (Netherlands) B.V.,子公司,"1 52,622",5 .50,-,,"2 0,885",
台達電子工業股份有限公司,"Delta Electronics Int’l (Singapore)
Pte. Ltd.",子公司,"2 ,852,965",0 .61,-,,"2 ,373,518",
台達電子工業股份有限公司,"Delta Electronics (Thailand) Public
Company Limited",子公司,"1 ,444,842",5 .93,"8 8,897",,"1 31,234",
台達電子工業股份有限公司,DEI Logistics (USA) Corp.,子公司,"4 ,070,806",5 .75,-,,"7 ,379",
台達電子工業股份有限公司,Delta Electronics (Americas) Ltd.,子公司,"3 ,761,835",4 .60,-,,"1 ,216,957",
台達電子工業股份有限公司,DELTA ELECTRONICS (USA) INC.,子公司,"6 70,926",2 .75,8 1,,"3 79,512",
"Delta International Holding Limited
B.V.","Delta Electronics Int’l (Singapore)
Pte. Ltd.",聯屬公司,"5 14,678",-,"5 14,678",,-,
台達電子(東莞)有限公司,台達電子企業管理(上海)有限公司,聯屬公司,"1 ,860,146",7 .01,-,,"5 87,522",
台達電子(東莞)有限公司,"Delta Electronics Int’l (Singapore)
Pte. Ltd.",聯屬公司,"5 ,935,870",1 4.35,-,,"1 ,668,886",
中達電子(江蘇)有限公司,台達電子企業管理(上海)有限公司,聯屬公司,"4 ,929,883",3 .68,-,,"1 ,449,590",
中達電子(江蘇)有限公司,中達電子(蕪湖)有限公司,聯屬公司,"1 00,114",4 .05,-,,-,
