帳列應收款項之公司,交易對象名稱,關係,"應收關係人款項
餘額（註1）",週轉率,逾期應收關係人款項,,"應收關係人款項
期後收回金額
(註2)",提列備抵呆帳金額
,,,,,金額,處理方式,,
"Delta Electronics Int’l (Singapore)
Pte. Ltd.","DELTA ELECTRONICS INDIA MANUFACTURING
PRIVATE LIMITED",聯屬公司,"$ 3 16,010",1 .58,"$ 4 6,921",,$ -,
"Delta Electronics Int’l (Singapore)
Pte. Ltd.","Delta Electronics (Japan), Inc.",聯屬公司,"5 46,607",4 .64,-,,"1 41,624",
"Delta Electronics Int’l (Singapore)
Pte. Ltd.",Delta Electronics (Netherlands) B.V.,聯屬公司,"7 23,932",5 .82,-,,"9 3,353",
"Delta Electronics Int’l (Singapore)
Pte. Ltd.","Delta Electronics (Thailand) Public
Company Limited",聯屬公司,"1 ,486,826",4 .58,-,,"3 72,958",
"Delta Electronics Int’l (Singapore)
Pte. Ltd.",台達電子工業股份有限公司,最終母公司,"7 ,229,235",3 .92,"2 06,201",,"1 ,020,109",
"Delta Electronics Int’l (Singapore)
Pte. Ltd.",DEI Logistics (USA) Corp.,聯屬公司,"7 ,912,498",2 .30,"2 88,892",,"5 31,277",
"Delta Electronics Int’l (Singapore)
Pte. Ltd.",Delta Electronics (Americas) Ltd.,聯屬公司,"9 58,811",3 .57,"1 ,143",,"2 69,688",
"Delta Electronics Int’l (Singapore)
Pte. Ltd.",DELTA ELECTRONICS (USA) INC.,聯屬公司,"1 ,968,638",3 .18,"1 ,138",,"4 60,496",
"Delta Electronics (Slovakia), s.r.o.",Delta Electronics (Netherlands) B.V.,聯屬公司,"2 61,003",2 .30,-,,"4 7,277",
"Delta Electronics (Slovakia), s.r.o.","Delta Electronics Int’l (Singapore)
Pte. Ltd.",聯屬公司,"4 25,960",3 .61,-,,"9 9,554",
"Delta Electronics (Slovakia), s.r.o.",Eltek s.r.o.,聯屬公司,"1 25,848",1 .99,"3 7,314",,-,
"Delta Electronics (Slovakia), s.r.o.","Delta Electronics (Thailand) Public
Company Limited",聯屬公司,"2 59,085",3 .66,-,,"8 7,213",
Eltek s.r.o.,DELTA ELECTRONICS (NORWAY) AS,聯屬公司,"2 00,625",1 0.68,8 22,,"1 06,671",
Eltek s.r.o.,"Delta Electronics Int’l (Singapore)
Pte. Ltd.",聯屬公司,"6 55,226",3 .63,-,,8 5,
"Delta Electronics (Thailand) Public
Company Limited","Delta Electronics Int’l (Singapore)
Pte. Ltd.",聯屬公司,"2 ,433,924",4 .66,"2 4,860",,"2 2,614",
"Delta Electronics (Thailand) Public
Company Limited",台達電子工業股份有限公司,最終母公司,"4 28,976",5 .76,2 90,,"6 9,068",
"Delta Electronics (Thailand) Public
Company Limited",DET Logistics (USA) Corporation,聯屬公司,"1 7,259,188",3 .06,"3 31,579",,"1 ,716,643",
