投資公司名稱,被投資公司名稱,所在地區,主要營業項目,原始投資金額,,期末持有,,,"被投資公司
本期損益","本期認列之
投資損益(註6)",備註
,,,,本期期末,去年年底,股數,比率,帳面金額,,,
台達電子工業股份有限公司,"Delta International Holding
Limited B.V.",荷蘭,投資事業,"$ 8 ,922,118","$ 8 ,922,118","6 7,680,000",1 00.00,"$ 9 0,713,232","$ 1 ,943,606","$ 1 ,507,796",
台達電子工業股份有限公司,"Delta Electronics (Netherlands)
B.V.",荷蘭,"經營電源、視訊、零組件、機
電等產品及材料之買賣","4 ,529,355","4 ,529,355","1 28,492,272",1 00.00,"4 1,186,769","1 ,357,319","1 ,381,107",
台達電子工業股份有限公司,"Delta Electronics (Thailand)
Public Company Limited",泰國,"電源供應器、其他電子設備及
零組件之製造及出口","4 ,780,487","4 ,780,487","6 91,281,400",5 .54,"6 ,705,261","5 ,294,085","2 76,305",(註13)
台達電子工業股份有限公司,乾坤科技股份有限公司,台灣,"薄膜光電元件等之研究、開
發、生產、製造與銷售","1 2,067,931","1 2,067,931","2 ,341,204,333",1 00.00,"4 1,577,428","6 27,094","6 22,872",
台達電子工業股份有限公司,達爾生技股份有限公司,台灣,醫療器材製造、批發與銷售,"9 00,000","9 00,000","1 1,288,557",1 00.00,"1 20,313","1 1,567","1 1,136",
台達電子工業股份有限公司,台達資本股份有限公司,台灣,投資事業,"3 ,253,241","3 ,253,241","4 49,786,729",1 00.00,"4 ,817,582","( 1 75,633)","( 1 75,633)",
台達電子工業股份有限公司,"Delta Electronics Int’l
(Singapore) Pte. Ltd.",新加坡,研發、經營及銷售電子產品,"3 4,498","3 4,498","4 5,234,240",1 00.00,"9 6,181,416","5 ,433,630","5 ,432,808",
台達電子工業股份有限公司,Delta America Ltd.,美國,投資事業,"1 03,065","1 03,065","2 ,100,000",1 0.26,"1 23,275","3 10,653","2 ,709",(註9)
台達電子工業股份有限公司,晶睿通訊股份有限公司,台灣,"影音壓縮軟體及編碼、網路影
音伺服器、網路攝影機及相關
零組件之製造及銷售","4 ,471,534","4 ,471,534","4 9,128,058",5 6.75,"4 ,408,643","5 6,165","1 6,413",
台達電子工業股份有限公司,中華東南亞控股股份有限公司,台灣,投資事業,"8 ,800","8 ,800","8 80,000",4 4.00,"7 ,927",( 1 24),( 5 5),
台達電子工業股份有限公司,達慧互聯股份有限公司,台灣,提供行業應用加值整合服務,"2 10,000","2 10,000","2 1,000,000",7 0.00,"1 62,292","( 9 ,195)","( 6 ,436)",
台達電子工業股份有限公司,碇基半導體股份有限公司,台灣,氮化鎵技術與解決方案,"4 70,000","4 70,000","3 7,000,000",6 7.02,"2 3,764","( 5 5,864)","( 3 7,440)",(註18)
台達電子工業股份有限公司,台達能源股份有限公司,台灣,提供能源技術服務,"2 00,000","2 00,000","2 0,000,000",1 00.00,"1 16,972","( 1 6,661)","( 1 6,661)",
台達電子工業股份有限公司,冠信電腦股份有限公司,台灣,"研發、生產及銷售精簡型電腦
（Thin Client）、極簡型電腦
（Zero Client）、伺服器及管
理軟體","9 50,259","9 50,259","2 8,825,000",5 5.02,"4 14,349","3 2,174","1 7,574",
台達電子工業股份有限公司,力林科技股份有限公司,台灣,電源管理IC設計,"1 17,435","1 12,500","5 ,219,000",2 1.30,"9 ,559","( 3 0,586)","( 6 ,774)",(註4)
台達電子工業股份有限公司,"MUSASHI DELTA E-AXLE INDIA
PRIVATE",印度,"電動機車馬達系統製造、開發
及銷售","2 12,261","2 12,261","5 4,400,000",3 4.00,"1 75,677","( 2 2,170)","1 3,902",
台達電子工業股份有限公司,台達控股股份有限公司,台灣,投資事業,"1 ,000","1 ,000","1 00,000",1 00.00,9 61,-,-,
冠信電腦股份有限公司,Atrust Japan Corporation,日本,提供支援服務,"3 5,632","3 5,632","3 ,200",1 00.00,"5 ,620","( 1 ,187)","( 1 ,187)",(註19)
冠信電腦股份有限公司,Atrust Computer Corporation,美國,提供支援服務,-,-,-,1 00.00,-,-,-,(註3及註19)
