持 有 之 公 司,有 價 證 券 種 類 及 名 稱,"與 有 價 證 券
發 行 人 之 關 係",帳 列 科 目,期 末,,,,備 註
,,,,"股數／單位
數 （ 仟 ）","帳 面 金 額
（外幣為仟元）",持股比率（％）,"公 允 價 值
（外幣為仟元）",
"台積公司
TSMC Partners","未上市（櫃）公司股權投資
台灣信越半導體股份有限公司
聯亞科技股份有限公司
環宇投資股份有限公司
商業本票
國泰金融控股股份有限公司
中國鋼鐵股份有限公司
台灣化學纖維股份有限公司
台灣中油股份有限公司
南亞塑膠工業股份有限公司
基 金
Matter Venture Partners Fund I, L.P.
未上市（櫃）公司股權投資
上海華芯創業投資企業
Walden Technology Ventures Investments
II, L.P.
Walden Technology Ventures Investments
III, L.P.
Tela Innovations
上市（櫃）公司股票
ARM Holdings plc","－
－
－
－
－
－
－
－
－
－
－
－
－
－","透過其他綜合損益按公允
價值衡量之金融資產
〃
〃
按攤銷後成本衡量之金融
資產
〃
〃
〃
〃
透過損益按公允價值衡量
之金融資產
透過其他綜合損益按公允
價值衡量之金融資產
〃
〃
〃
透過其他綜合損益按公允
價值衡量之金融資產","10,500
21,230
10,442
697
200
120
100
100
-
-
-
-
6,942
1,111","$ 450,660
446,858
117,912
6,951,320
1,992,895
1,197,542
999,376
998,581
USD 3,454
USD 27,326
USD 17,757
USD 13,354
-
USD 138,837","7
10
6
不適用
不適用
不適用
不適用
不適用
-
6
9
4
22
-","$ 450,660
446,858
117,912
6,957,258
1,994,539
1,198,621
999,375
999,544
USD 3,454
USD 27,326
USD 17,757
USD 13,354
-
USD 138,837",
