,113年3月31日,,,,,
性質,,"已認列之金融
資產/負債總額",,"於資產負債表互抵之已認
列之金融資產/負債總額",,"列報於資產負債表之
金融資產/負債淨額"
"銀行存款/
銀行借款",,"$ 127,757,395",,"$ 127,757,395",,$ -
