大陸被投資公司名稱,主要營業項目,實收資本額,投資方式,"本期期初自台灣
匯出累積投資金
額","本期匯出或收回
投資金額",,"本期期末自台灣
匯出累積投資金
額","被投資公司本
期損益","本公司直接
或間接投資
之持股比例","本期認列
投資損益","期末投資
帳面金額","截至本期止已
匯回投資收益",備註
,,,,,匯出,收回,,,,,,,
台達電子(東莞)有限公司,"經營變壓器及散熱等電子產
品之製造及銷售業務","$ 6 ,156,539","透過第三地區投資設立公司
再投資大陸公司","$ 7 ,538,698",$ -,$ -,"$ 7 ,538,698","$ 3 57,221",1 00.00,"$ 3 57,077","$ 1 0,623,381","$ 3 20,761",(註5)
"台達電子企業管理(上海)有
限公司","產品外觀設計之技術服務及
管理諮詢及各類電子產品分
銷等業務","3 ,631,489","透過第三地區投資設立公司
再投資大陸公司","5 19,441",-,-,"5 19,441","5 08,936",1 00.00,"5 08,936","9 ,899,040",-,(註5)
中達電子(蕪湖)有限公司,"經營LED燈源及電源供應器等
電子產品之製造及銷售業務","4 ,449,470","透過第三地區投資設立公司
再投資大陸公司","5 68,179",-,-,"5 68,179","5 2,476",1 00.00,"5 2,476","4 ,625,195",-,(註5)
台達電子(郴州)有限公司,"經營變壓器等電子產品之製
造及銷售業務","2 ,091,915","透過第三地區投資設立公司
再投資大陸公司","1 41,947",-,-,"1 41,947","7 2,118",1 00.00,"7 2,773","2 ,590,483",-,(註5)
中達電子(江蘇)有限公司,"經營變壓器及電源供應器等
電子產品之製造及銷售業務","6 ,203,026","透過第三地區投資設立公司
再投資大陸公司","1 3,541,991",-,-,"1 3,541,991","4 77,456",1 00.00,"4 77,456","1 5,005,780",-,(註5)
達而泰(天津)實業有限公司,"經營電壓控制器等電子產品
之製造及銷售業務","1 50,419","透過第三地區投資設立公司
再投資大陸公司","1 ,098,592",-,-,"1 ,098,592",( 5 80),1 00.00,( 5 80),"1 04,771",-,(註5)
台達電子(平潭)有限公司,"電子產品、節能設備批發銷
售等","1 37,354","透過第三地區投資設立公司
再投資大陸公司","1 72,490",-,-,"1 72,490","5 ,903",1 00.00,"5 ,903","2 21,011",-,(註5)
台達電子(西安)有限公司,"電腦及其週邊設備、軟體買
賣","2 51,815","透過第三地區投資設立公司
再投資大陸公司","2 80,863",-,-,"2 80,863",6 02,1 00.00,6 02,"2 09,550",-,(註5)
吳江華豐電子科技有限公司,"電子元器件、模具之製造及
銷售；鍛件及粉末冶金製品
之銷售","7 ,736,765","透過第三地區投資設立公司
再投資大陸公司","9 ,359,497",-,-,"9 ,359,497","1 13,371",1 00.00,"1 13,390","8 ,344,300",-,(註5)
"福達新創通訊科技(廈門)有
限公司","經營其他無線電傳輸器具、
其他自動資料處理機單元、
接收、轉換及傳輸或再生聲
音、圖像或其他資料之機器
，包括交換器及路由器、具
有特殊程式控制計算機或具
有記憶能量之文字處理機業
務","6 7,524","透過第三地區投資設立公司
再投資大陸公司","2 3,244",-,-,"2 3,244","1 ,251",3 0.00,3 75,"2 3,511",-,(註6)
蘇州爾達醫療設備有限公司,醫療器材製造、批發與銷售,"1 32,820",直接投資,"1 32,820",-,-,"1 32,820","3 ,543",1 00.00,"3 ,543","1 29,260","2 6,050",(註7)
