帳列應收款項之公司,交易對象名稱,關係,"應收關係人款項
餘額（註1）",週轉率,逾期應收關係人款項,,"應收關係人款項
期後收回金額
(註2)",提列備抵呆帳金額
,,,,,金額,處理方式,,
"Delta Electronics (Thailand) Public
Company Limited",Delta Electronics (Americas) Ltd.,聯屬公司,"$ 2 17,537",3 .90,$ -,,"$ 7 8,445",
"Delta International Holding Limited
B.V.","Delta Intelligent Building
Technologies (Canada) INC.",聯屬公司,"4 66,691",-,-,,-,
"Delta International Holding Limited
B.V.",Delta Electronics (H.K.) Ltd.,聯屬公司,"1 4,373,399",-,-,,-,
"Delta International Holding Limited
B.V.",TB&C Outsert Center GmbH,聯屬公司,"2 52,440",-,-,,-,
"Delta International Holding Limited
B.V.",Delta Electronics (Netherlands) B.V.,聯屬公司,"1 69,194",-,-,,-,
"Delta International Holding Limited
B.V.","Delta Electronics (Slovakia), s.r.o.",聯屬公司,"3 59,700",-,-,,-,
"Delta International Holding Limited
B.V.","Delta Intelligent Building
Technologies (USA), LLC",聯屬公司,"7 63,715",-,-,,-,
"Delta International Holding Limited
B.V.",DELTA ELECTRONICS (USA) INC.,聯屬公司,"4 ,657,513",-,-,,-,
DET International Holding B.V.,Delta Electronics India Pvt. Ltd.,聯屬公司,"2 ,601,612",-,-,,-,
台達電子企業管理(上海)有限公司,台達電子(重慶)有限公司,聯屬公司,"6 46,752",-,-,,-,
台達電子企業管理(上海)有限公司,華豐電子科技(蕪湖)有限公司,聯屬公司,"6 92,090",-,-,,-,
中達電子(蕪湖)有限公司,中達電子(江蘇)有限公司,聯屬公司,"1 ,154,914",-,-,,-,
Delta Component Limited B.V.,"Delta Intelligent Building
Technologies (Canada) INC.",聯屬公司,"1 ,700,090",-,-,,-,
Delta Component Limited B.V.,Delta Electronics (H.K.) Ltd.,聯屬公司,"1 0,578,553",-,-,,-,
Delta Energy Systems (Germany) GmbH,"Delta Energy Systems Property
(Germany) GmbH",聯屬公司,"7 49,975",-,-,,-,
Delta Electronics India Pvt. Ltd.,"DELTA ELECTRONICS INDIA MANUFACTURING
PRIVATE LIMITED",聯屬公司,"3 34,144",-,"1 4,823",,-,
DELTA ELECTRONICS (NORWAY) AS,Graterudveien 8 AS,聯屬公司,"4 17,531",-,-,,-,
