投資公司名稱,被投資公司名稱,所在地區,主要營業項目,原始投資金額,,期末持有,,,"被投資公司
本期損益","本期認列之
投資損益(註6)",備註
,,,,本期期末,去年年底,股數,比率,帳面金額,,,
"Delta Electronics
(Netherlands) B.V.","Delta Greentech Electronics
Industry LLC",土耳其,"經營電子產品之行銷及銷售業
務","$ 5 18,662","$ 5 18,662","7 ,670,494",1 00.00,"$ 5 28,157","$ 6 1,466","$ 7 4,132",(註8)
"Delta Electronics
(Netherlands) B.V.",DELTA GREENTECH (BRASIL) LTDA.,巴西,經營電子產品之製造及買賣,"2 36,088","2 36,088","4 ,315,657",1 00.00,"1 76,285","1 ,741","1 ,741",(註8)
"Delta Electronics
(Netherlands) B.V.",DELTA ELECTRONICS BRASIL LTDA.,巴西,經營電子產品之製造及買賣,"6 73,514","6 73,514","8 7,000,000",1 00.00,"9 04,531","4 7,496","4 7,496",(註8)
"Delta Electronics Int’l
(Singapore) Pte. Ltd.","Delta Electronics (Thailand)
Public Company Limited",泰國,"電源供應器、其他電子設備及
零組件之製造及出口","3 9,728,183","3 9,728,183","5 ,344,793,060",4 2.85,"5 6,964,089","5 ,294,085","2 ,088,716",(註7及註13)
"Delta Electronics Int’l
(Singapore) Pte. Ltd.",ELTEK POWER INCORPORATED,菲律賓,經營電源供應器等之銷售業務,"2 5,014","2 5,014","1 1,400,000",1 00.00,"6 ,595","1 ,986","1 ,986",(註7)
"Delta Electronics Int’l
(Singapore) Pte. Ltd.","ELTEK POWER CO., LTD.",泰國,經營電源供應器等之銷售業務,-,-,"4 0,000",1 00.00,"7 3,250","1 ,770","1 ,770",(註7)
"Delta Electronics Int’l
(Singapore) Pte. Ltd.",ELTEK POWER (CAMBODIA) LTD,柬埔寨,經營電源供應器等之銷售業務,-,-,"1 ,000",1 00.00,"( 2 0,801)",-,-,(註7)
"Delta Electronics Int’l
(Singapore) Pte. Ltd.",ELTEK POWER (MALAYSIA) SDN. BHD.,馬來西亞,經營電源供應器等之銷售業務,"1 94,089","1 94,089","1 6,300,000",1 00.00,"8 6,986","1 ,933","1 ,933",(註7)
"Delta Electronics Int’l
(Singapore) Pte. Ltd.",Loy Tec electronics GmbH,奧地利,提供樓宇管理與控制解決方案,"2 ,694,899","2 ,694,899",-,1 00.00,"1 ,509,712","2 6,864","( 2 ,073)",(註7)
乾坤科技股份有限公司,Delta Component Limited B.V.,荷蘭,投資事業,"1 ,116,521","1 ,116,521","3 2,740,062",1 00.00,"3 7,741,095","3 15,910","3 15,910",(註5及註21)
乾坤科技股份有限公司,力林科技股份有限公司,台灣,電源管理IC設計,"3 47,387","3 47,387","1 5,432,000",6 2.97,( 2 03),"( 3 0,586)","( 2 0,361)",(註4及註5)
"Delta Electronics
(Thailand) Public Company
Limited",DET International Holding B.V.,荷蘭,投資事業,"9 ,469,128","9 ,469,128","2 69,357,329",1 00.00,"9 ,468,852","( 1 36,673)","( 1 32,283)",(註16)
"Delta Electronics
(Thailand) Public Company
Limited","Delta Green Industrial
(Thailand) Co., Ltd.",泰國,"不斷電式電源供應器、太陽能
逆變器、電動車充電器、資料
中心之整合、銷售、貿易、安
裝及服務","2 02,745","2 02,745","2 0,600,000",1 00.00,"2 ,670","( 4 ,241)","( 4 ,082)",(註16)
"Delta Electronics
(Thailand) Public Company
Limited","Delta Energy Systems (Singapore)
PTE. LTD.",新加坡,"投資事業、貿易、管理及諮詢
業務","1 0,298,116","1 0,298,116","3 10,910,790",1 00.00,"1 2,431,176","6 ,238","6 ,446",(註16)
"Delta Electronics
(Thailand) Public Company
Limited","Delta Electronics (Vietnam)
Company Limited",越南,電子產品買賣,"2 ,983","2 ,983",-,1 00.00,"5 5,328","9 ,132","8 ,789",(註16)
"Delta Electronics
(Thailand) Public Company
Limited","DELTA ELECTRONICS INDIA
MANUFACTURING PRIVATE LIMITED",印度,電子產品之製造及銷售,"1 ,272,266","1 ,272,266","2 94,110,999",1 00.00,"8 73,210","1 48,719","1 43,143",(註16)
"Delta Electronics
(Thailand) Public Company
Limited",PT Delta Electronics Indonesia,印尼,經營電子產品之貿易及安裝,"2 0,864","2 0,864","9 99,999",1 00.00,"2 0,241",( 5 01),( 4 82),(註16)
"Delta Electronics
(Thailand) Public Company
Limited","DLG Electronic Co., Ltd",泰國,電子零組件之製造,9 84,4 92,"1 00,000",1 0.00,9 94,6 90,6 9,(註14)
