"編號
(註1)","背書保
證者公
司名稱",被背書保證對象,,"對單一企
業背書保
證限額(註2)","本期最高背
書保證餘額
(外幣為千元)(","期末背書
保證餘額
外幣為千元)","實際動
支金額
(外幣為千元)","背書保證以
財產設定
擔保金額","累計背書保證金
額佔最近期財務
報表淨值之比率","背書保證
最高限額
(註2)","屬母公司
對子公司
背書保證","屬子公司
對母公司
背書保證","屬對大陸
地區背書
保 證"
,,公司名稱,"關係
(註3)",,,,,,,,,,
"0
1","本公司
達明機器人
(股)公司","QIL
達明機器人(上
海)有限公司",2,"192,863,542
368,175","32,540,900
(USD 980,000)(
5,922","32,540,900
USD 980,000)
5,922","17,266,600
(USD 520,000)
-","-
-","16.87%
0.32%","192,863,542
736,351",Y,N,N
,,,,,,,,,,,,,
,,,3,,,,,,,,N,N,Y
,,,,,,,,,,,,,
