項 目,,114年3月31日,,113年12月31日,,113年3月31日
按攤銷後成本衡量之金融資產-流動,,,,,,
三個月以上到期之定期存款,,"$ 408,128,750",,"$ 369,640,441",,"$ 133,506,341"
金融債劵,,"1,793,340",,"1,475,550",,"3,814,400"
"受限制銀行存款
質押定期存款",,"26,516 164,838 243,792
168,078 196,504 137,850
$ 410,116,684 $ 371,477,333 $ 137,702,383",,,,
合計,,,,,,
,,,,,,
按攤銷後成本衡量之金融資產-非流動,,,,,,
金融債券,,"$ 3,615,560 $ 3,600,440 $ 2,420,000
3,734,324 3,711,868 7,090,064
67,630 30,800 34,200
37,118 29,027 21,264
$ 7,454,632 $ 7,372,135 $ 9,565,528
$ 1,771,720 $ 1,639,947 $ 1,917,642",,,,
十二個月以上到期之定期存款,,,,,,
受限制銀行存款,,,,,,
質押定期存款,,,,,,
合計,,,,,,
其他流動資產,,,,,,
