代 碼,資 產,附 註,一一四年三月三十一日,,一一三年十二月三十一日,,一一三年三月三十一日,
,,,金 額,％,金 額,％,金 額,％
"1100
1110
1120
1136
1140
1170
1180
1200
1220
130X
1410
1470
11XX
1510
1517
1535
1550
1600
1755
1780
1840
1915
1920
1990
15XX
1XXX","流動資產
現金及約當現金
透過損益按公允價值衡量之金融資產-流動
透過其他綜合損益按公允價值衡量之金融資產-流動
按攤銷後成本衡量之金融資產-流動
合約資產-流動
應收帳款淨額
應收帳款-關係人淨額
其他應收款
本期所得稅資產
存貨淨額
預付款項
其他流動資產
流動資產合計
非流動資產
透過損益按公允價值衡量之金融資產-非流動
透過其他綜合損益按公允價值衡量之金融資產-非流動
按攤銷後成本衡量之金融資產-非流動
採用權益法之投資
不動產、廠房及設備
使用權資產
無形資產
遞延所得稅資產
預付設備款
存出保證金
其他非流動資產-其他
非流動資產合計
資產總計","四及六.1
四、五及六.2
四、五及六.3
四及六.4
四及六.21
四及六.5
四及七
四
四
四、五及六.6
六.21
四、五及六.2
四、五及六.3
四及六.4
四、六.7及七
四、六.8及八
四、六.9及八
四、六.10及七
四
八","$ 1 06,353,757
555,297
6,398,188
3,561,874
343,808
34,388,850
411,775
1,842,446
85,811
35,424,924
2,071,232
885,124
192,323,086
17,774,318
11,233,876
-
42,399,076
282,051,327
7,948,011
3,909,747
5,389,623
3,501,145
2,004,411
4,427,663
380,639,197
$ 5 72,962,283","18.56
0.10
1 .12
0 .62
0 .06
6.00
0.07
0.32
0.02
6.18
0.36
0.16
33.57
3.10
1 .96
-
7.40
49.23
1.39
0.68
0.94
0.61
0.35
0.77
66.43
100.00","$ 1 05,000,226
606,018
5,893,377
3,739,224
625,713
32,723,426
620,013
1,651,494
83,944
35,782,464
2,337,085
614,900
189,677,884
17,850,914
11,315,951
-
43,320,605
279,059,037
8,039,015
4,154,315
5,210,489
4,932,505
1,992,400
4,647,562
380,522,793
$ 5 70,200,677","18.41
0.11
1 .03
0 .66
0 .11
5.74
0.11
0.29
0.01
6.28
0.41
0.11
33.27
3.13
1 .98
-
7.60
48.94
1.41
0.73
0.91
0.87
0.35
0.81
66.73
100.00","$ 1 19,431,260
450,991
6,721,549
5,593,700
574,249
30,206,711
470,257
3,683,750
133,034
34,593,276
2,568,359
735,220
205,162,356
17,685,117
12,815,300
248,021
46,793,606
254,135,871
7,658,502
4,023,612
5,028,668
5,543,410
3,265,200
4,712,923
361,910,230
$ 5 67,072,586","21.06
0.08
1 .19
0 .99
0 .10
5.33
0.08
0.65
0.02
6.10
0.45
0.13
36.18
3.12
2 .26
0 .04
8.25
44.81
1.35
0.71
0.89
0.98
0.58
0.83
63.82
100.00"
