持 有 之 公 司,有 價 證 券 種 類 及 名 稱,"與 有 價 證 券
發 行 人 之 關 係",帳 列 科 目,期 末,,,,備 註
,,,,"股數／單位
數 （ 仟 ）","帳 面 金 額
（外幣為仟元）",持股比率（％）,"公 允 價 值
（外幣為仟元）",
TSMC Global,"Federal Home Loan Banks
Federal Home Loan Mortgage Corporation
資產基礎證券
Toyota Auto Receivables 2022-B Owner
Trust
Wells Fargo Commercial Mortgage Trust
2016-Bnk1
JPMBB Commercial Mortgage Securities
Trust 2014-C24
Gm Financial Consumer Automobile
Receivables Trust 2023-3
Ford Credit Auto Owner Trust 2021-Rev2
Toyota Auto Loan Extended Note Trust
2023-1
Citigroup Commercial Mortgage Trust
2015-GC33
Ford Credit Auto Owner Trust 2020-REV2
Hyundai Auto Receivables Trust 2023-B
BBCMS Mortgage Trust 2020-C8
Morgan Stanley Capital I Trust 2021-L6
Honda Auto Receivables 2023-2 Owner
Trust
Bank 2020-BNK26
Hudson Yards 2016-10HY Mortgage Trust
Benchmark 2019-B11 Mortgage Trust
Hyundai Auto Receivables Trust 2021-C
Citigroup Commercial Mortgage Trust
2021-PRM2
Bank 2017 - BNK7
Bank 2021-bnk33
Benchmark 2019-B12 Mortgage Trust
Morgan Stanley Bank America Merrill
Lynch Trust 2016-C30
BBCMS 2018-Tall Mortgage Trust","－
－
－
－
－
－
－
－
－
－
－
－
－
－
－
－
－
－
－
－
－
－
－
－","按攤銷後成本衡量之金融
資產
〃
透過其他綜合損益按公允
價值衡量之金融資產
〃
〃
〃
〃
〃
〃
〃
〃
〃
〃
〃
〃
〃
〃
〃
〃
〃
〃
〃
〃
〃","-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-","USD 55,000
USD 30,000
USD 10,719
USD 9,971
USD 9,891
USD 8,943
USD 7,694
USD 7,301
USD 7,120
USD 6,898
USD 6,242
USD 6,191
USD 5,987
USD 5,972
USD 5,890
USD 5,839
USD 5,749
USD 5,724
USD 5,560
USD 5,544
USD 5,495
USD 5,432
USD 5,330
USD 5,280","不適用
不適用
不適用
不適用
不適用
不適用
不適用
不適用
不適用
不適用
不適用
不適用
不適用
不適用
不適用
不適用
不適用
不適用
不適用
不適用
不適用
不適用
不適用
不適用","USD 54,991
USD 30,028
USD 10,719
USD 9,971
USD 9,891
USD 8,943
USD 7,694
USD 7,301
USD 7,120
USD 6,898
USD 6,242
USD 6,191
USD 5,987
USD 5,972
USD 5,890
USD 5,839
USD 5,749
USD 5,724
USD 5,560
USD 5,544
USD 5,495
USD 5,432
USD 5,330
USD 5,280",
