"帳列應收款項
之 公 司",交易對象名稱,關 係,"應收關係人
款項餘額",週轉率,逾期應收關係人款項,,"應收關係人款項
期後收回金額","提列備抵
損失金額"
,,,,,金 額,處理方式,,
"廣達電腦(股)公司
〞
〞
〞
〞
〞
〞
〞
〞
QSS
TMT
TRI
達功(上海)電腦有限
公司
〞
〞
達豐(重慶)電腦有限
公司
〞
達豐(上海)電腦有限
公司
〞
QMN
QCN
QDL(HK)
QMB
QSI-USA","QCH
〞
QCTJ
QCTK
雲達科技(股)公司
QCT-USA
QCTS
QMB
QMH
廣明光電(股)公司
〞
TRS
廣達電腦(股)公司
達群(上海)電腦有
限公司
QMH
廣達電腦(股)公司
QMB
達功(上海)電腦有
限公司
廣達電腦(股)公司
QCH
QSN
廣達電腦(股)公司
達功(上海)電腦有
限公司
QCA","聯屬公司
〞
〞
〞
最終母公司與
本公司相同
聯屬公司
〞
〞
〞
最終母公司與
本公司相同
〞
聯屬公司
本公司之最終
母公司
聯屬公司
最終母公司與
本公司相同
本公司之最終
母公司
最終母公司與
本公司相同
聯屬公司
本公司之最終
母公司
聯屬公司
〞
本公司之最終
母公司
最終母公司與
本公司相同
聯屬公司","195,635,336
69,561,954
1,434,869
7,306,960
114,004
679,563
346,192
3,600,907
987,527
1,033,560
1,261,136
157,577
23,727,067
5,547,688
191,376
39,629,400
1,626,962
212,155
8,456,029
2,523,860
415,969
3,818,131
1,036,229
185,412","4.10
-
2.90
5.18
4.19
3.68
0.26
-
-
2.64
3.18
2.85
15.51
2.83
1.37
10.84
7.86
1.72
0.10
5.12
0.07
4.75
5.68
-","-
-
-
-
-
-
-
-
-
-
-
33,669
-
-
-
-
-
-
-
-
-
-
-
-","-
-
-
-
-
-
-
-
-
-
-
期後已收回
-
-
-
-
-
-
-
-
-
-
-
-","43,769,532
-
269,594
6,843,633
-
442,364
318,910
872
1,141
116,218
332,625
33,669
-
-
-
-
-
-
-
-
-
-
-
-","-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-"
