"未折現租賃給付
未賺得融資收益",,114年,3月31日,
,,流動,,非流動
,,"$ 80,780",,$ -
,,-,,-
,,"$ 80,780",,$ -
,,,,
,,113年,3月31日,
,,流動,,非流動
,,"$ 475,093",,"$ 101,655"
,,"(4,978)",,"(28,553)"
,,"$ 470,115",,"$ 73,102"
