,,鴻準精密工業股份有限公司,,,,
,,114年3月31日,,113年12月31日,,113年3月31日
流動資產,,"$ 129,888,815",,"$ 129,863,970",,"$ 72,817,233"
非流動資產,,"37,219,808",,"37,004,004",,"59,382,444"
流動負債,,"(55,026,214)",,"(55,612,334)",,"(26,002,143)"
非流動負債,,"(1,028,426)",,"(1,051,918)",,"(1,014,289)"
淨資產總額,,"$ 111,053,983",,"$ 110,203,722",,"$ 105,183,245"
,,,,,,
"占關聯企業淨資產之份
額",,"$ 31,484,756",,"$ 31,237,641",,"$ 31,054,010"
商譽,,"320,117",,"320,117
(433)",,"338,190"
其他,,"(4,485)",,,,"(2,297)"
關聯企業帳面價值,,"$ 31,800,388",,"$ 31,557,325",,"$ 31,389,903"
