持 有 之 公 司,有 價 證 券 種 類 及 名 稱,"與 有 價 證 券
發 行 人 之 關 係",帳 列 科 目,期 末,,,,備 註
,,,,"股數／單位
數 （ 仟 ）","帳 面 金 額
（外幣為仟元）",持股比率（％）,"公 允 價 值
（外幣為仟元）",
TSMC Global,"Mercedes-Benz Auto Receivables Trust
2023-1
Wells Fargo Commercial Mortgage Trust
2015-C30
JPMBB Commercial Mortgage Securities
Trust 2015-C27
Hyundai Auto Receivables Trust 2022-A
UBS Commercial Mortgage Trust 2018-C11
American Express Credit Account Master
Trust , series 2023-1
COMM 2020-CBM Mortgage Trust
Morgan Stanley Capital I Trust
Morgan Stanley Capital I Trust 2021-L5
Wells Fargo Commercial Mortgage Trust
2015-C29
Ford Credit Auto Owner Trust 2022-C
Wells Fargo Commercial Mortgage Trust
2018-C44
Gs Mortgage Securities Trust 2018-Gs10
GM Financial Consumer Automobile
Receivables Trust 2023-1
FORD CREDIT AUTO OWNER TRUST
2023-REV2
American Express Credit Account Master
Trust
Morgan Stanley Capital I Trust 2015 - UBS8
Wells Fargo Commercial Mortgage Trust
2016-LC24
Citigroup Commercial Mortgage Trust
2016-C3
Ford Credit Auto Owner Trust 2022-A
Bank 2023-Bnk45
BBCMS Mortgage Trust 2018-C2
Benchmark 2021-B24 Mortgage Trust
Nissan Auto Receivables 2023-A Owner
Trust","－
－
－
－
－
－
－
－
－
－
－
－
－
－
－
－
－
－
－
－
－
－
－
－","透過其他綜合損益按公允
價值衡量之金融資產
〃
〃
〃
〃
〃
〃
〃
〃
〃
〃
〃
〃
〃
〃
〃
〃
〃
〃
〃
〃
〃
〃
〃","-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-","USD 1,673
USD 1,560
USD 1,535
USD 1,525
USD 1,500
USD 1,497
USD 1,487
USD 1,467
USD 1,370
USD 1,252
USD 1,238
USD 1,223
USD 1,219
USD 1,212
USD 1,114
USD 1,007
USD 965
USD 942
USD 940
USD 889
USD 863
USD 846
USD 835
USD 825","不適用
不適用
不適用
不適用
不適用
不適用
不適用
不適用
不適用
不適用
不適用
不適用
不適用
不適用
不適用
不適用
不適用
不適用
不適用
不適用
不適用
不適用
不適用
不適用","USD 1,673
USD 1,560
USD 1,535
USD 1,525
USD 1,500
USD 1,497
USD 1,487
USD 1,467
USD 1,370
USD 1,252
USD 1,238
USD 1,223
USD 1,219
USD 1,212
USD 1,114
USD 1,007
USD 965
USD 942
USD 940
USD 889
USD 863
USD 846
USD 835
USD 825",
