"進(銷)貨
之公司",交易對象名稱,關 係,交易情形,,,,"交易條件與一般交易不同
之情形及原因",,應收(付)票據、帳款,,備註
,,,進(銷)貨,金 額,"佔總進
(銷) 貨
之比率","授信
期間",單 價,授信期間,餘 額,"佔總應收
(付)票據、帳
款之比率",
"達群(上海)電腦
有限公司
〞
QMH","達功(上海)電
腦有限公司
廣達電腦(股)
公司
〞","聯屬公司
本公司之最
終母公司
〞","進貨
〞
銷貨","5,122,879
180,918
(7,838,588)","96.49%
3.41%
7.40%","月結45天
月結120天
月結45-120天","-
-
-","-
-
-","(5,547,688)
-
-","(96.80)%
- %
- %",
