持 有 之 公 司,有 價 證 券 種 類 及 名 稱,"與 有 價 證 券
發 行 人 之 關 係",帳 列 科 目,期 末,,,,備 註
,,,,"股數／單位
數 （ 仟 ）","帳 面 金 額
（外幣為仟元）",持股比率（％）,"公 允 價 值
（外幣為仟元）",
TSMC Global,"Hyundai Capital Services, Inc.
Svenska Handelsbanken AB (publ)
QNB Finance Ltd.
Sumitomo Mitsui Trust Bank, Limited
Lloyds Banking Group plc
Deutsche Bank AG - New York Branch
Volkswagen Group of America Finance,
LLC
Mitsubishi UFJ Financial Group, Inc.
Jackson National Life Global Funding
ANZ New Zealand (Int'l) Limited
Scottish Power Limited
Spectra Energy Partners, LP
National Bank of Canada
Georgia-Pacific LLC
GA Global Funding Trust
Reliance Standard Life Global Funding II
Barclays Bank PLC
AIA Group Limited
政府機構不動產抵押貸款債券
FEDERAL NATIONAL MORTGAGE
ASSOCIATION
Federal Home Loan Mortgage Corporation
Government National Mortgage
Association
政府公債／政府機構債券
United States Department of The Treasury
Federal Home Loan Mortgage Corporation
FEDERAL NATIONAL MORTGAGE
ASSOCIATION
United States Department of The Treasury","－
－
－
－
－
－
－
－
－
－
－
－
－
－
－
－
－
－
－
－
－
－
－
－
－","按攤銷後成本衡量之金融
資產
〃
〃
〃
〃
〃
〃
〃
〃
〃
〃
〃
〃
〃
〃
〃
〃
〃
透過其他綜合損益按公允
價值衡量之金融資產
〃
〃
透過其他綜合損益按公允
價值衡量之金融資產
〃
〃
按攤銷後成本衡量之金融
資產","-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-","USD 5,038
USD 4,744
USD 4,453
USD 4,172
USD 3,982
USD 3,979
USD 3,872
USD 3,773
USD 3,350
USD 3,267
USD 3,186
USD 2,856
USD 2,114
USD 1,264
USD 1,179
USD 1,090
USD 748
USD 588
USD 676,978
USD 349,415
USD 265,032
USD 670,867
USD 4,990
USD 1,071
USD 118,669","不適用
不適用
不適用
不適用
不適用
不適用
不適用
不適用
不適用
不適用
不適用
不適用
不適用
不適用
不適用
不適用
不適用
不適用
不適用
不適用
不適用
不適用
不適用
不適用
不適用","USD 4,992
USD 4,764
USD 4,455
USD 4,130
USD 3,952
USD 3,941
USD 3,822
USD 3,750
USD 3,290
USD 3,231
USD 3,184
USD 2,822
USD 2,114
USD 1,258
USD 1,178
USD 1,083
USD 748
USD 588
USD 676,978
USD 349,415
USD 265,032
USD 670,867
USD 4,990
USD 1,071
USD 117,913",
