持 有 之 公 司,有 價 證 券 種 類 及 名 稱,"與 有 價 證 券
發 行 人 之 關 係",帳 列 科 目,期 末,,,,備 註
,,,,"股數／單位
數 （ 仟 ）","帳 面 金 額
（外幣為仟元）",持股比率（％）,"公 允 價 值
（外幣為仟元）",
TSMC Global,"COMM Mortgage Trust Series 2015-LC19
DBJPM 2016-C1 Mortgage Trust
Honda Auto Receivables 2022-2 Owner
Trust
Citigroup Commercial Mortgage Trust
2015-GC35
Toyota Auto Receivables 2021-D Owner
Trust
Wells Fargo Commercial Mortgage Trust
2017-C40
JPMBB Commercial Mortgage Securities
Trust 2015-C28
JPMCC Commercial Mortgage Securities
Trust 2016 - JP3
JPMBB Commercial Mortgage Securities
Trust 2016-C1
Wells Fargo Commercial Mortgage Trust
2015-C28
Gm Financial Consumer Automobile
Receivables Trust 2024-1
Citigroup Commercial Mortgage Trust
2018-C5
Toyota Auto Receivables 2021-C Owner
Trust
Honda Auto Receivables 2021-2 Owner
Trust
Wells Fargo Commercial Mortgage Trust
2015-NXS3
Ford Credit Auto Owner Trust 2022-B
Porsche Financial Auto Securitization Trust
2023-1
JPMCC 2015 - JP1
Benchmark 2019-B14 Mortgage Trust
Wells Fargo Commercial Mortgage Trust
2015-LC20","－
－
－
－
－
－
－
－
－
－
－
－
－
－
－
－
－
－
－
－","透過其他綜合損益按公允
價值衡量之金融資產
〃
〃
〃
〃
〃
〃
〃
〃
〃
〃
〃
〃
〃
〃
〃
〃
〃
〃
〃","-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-","USD 784
USD 760
USD 731
USD 689
USD 653
USD 645
USD 619
USD 581
USD 578
USD 532
USD 465
USD 401
USD 390
USD 275
USD 225
USD 201
USD 199
USD 152
USD 150
USD 125","不適用
不適用
不適用
不適用
不適用
不適用
不適用
不適用
不適用
不適用
不適用
不適用
不適用
不適用
不適用
不適用
不適用
不適用
不適用
不適用","USD 784
USD 760
USD 731
USD 689
USD 653
USD 645
USD 619
USD 581
USD 578
USD 532
USD 465
USD 401
USD 390
USD 275
USD 225
USD 201
USD 199
USD 152
USD 150
USD 125",
