買 、 賣 之 公 司,有價證券種類及名稱,帳 列 科 目,交易對象,關 係,期 初,,買 入,,賣 出,,,,期 末 （ 註 ）,
,,,,,"股數／單位
數 （ 仟 ）","金 額
（外幣為仟元）","股數／單位
數 （ 仟 ）","金 額
（外幣為仟元）","股數／單位
數 （ 仟 ）","售 價
（外幣為仟元）","帳 面 成 本
（外幣為仟元）","處 分 損 益
（外幣為仟元）","股數／單位
數 （ 仟 ）","金 額
（外幣為仟元）"
"台積公司
TSMC Partners
TSMC Global",未上市（櫃）公司股權投,"採用權益法之投資
〃
〃
按攤銷後成本衡量之金
融資產
〃
〃
透過其他綜合損益按公
允價值衡量之金融資
產
透過其他綜合損益按公
允價值衡量之金融資
產
〃
〃
〃
〃
〃
〃
〃
〃
〃
〃
〃
〃","－
－
－
－
－
－
－
－
－
－
－
－
－
－
－
－
－
－
－
－","－
－
－
－
－
－
－
－
－
－
－
－
－
－
－
－
－
－
－
－","10,500
2,269
-
600
50
100
1,961
-
-
-
-
-
-
-
-
-
-
-
-
-","$ 298,604,975
47,087,140
1,901,742
5,976,677
498,916
996,260
USD 147,353
USD 76,777
USD 62,267
USD 58,351
USD 50,436
USD 58,554
USD 20,345
USD 17,932
USD 17,286
USD 36,903
USD 13,567
USD 4,604
USD 1,556
USD 6,360","1,000
522
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-","$ 31,558,800
11,144,154
382,061
-
-
-
USD -
USD 10,877
USD 9,710
USD 10,062
USD 10,970
USD 9,161
USD 20,735
USD 13,817
USD 14,372
USD -
USD 10,887
USD 21,106
USD 19,310
USD 10,261","-
-
-
500
50
100
850
-
-
-
-
-
-
-
-
-
-
-
-
-","$ -
-
-
5,000,000
500,000
1,000,000
USD 101,535
USD 5,599
USD 2,994
USD 3,325
USD 2,258
USD 14,532
USD 5,680
USD 1,377
USD 2,861
USD 10,030
USD -
USD 4,100
USD -
USD -","$ -
-
-
5,000,000
500,000
1,000,000
USD 43,350
USD 5,585
USD 3,002
USD 3,338
USD 2,300
USD 14,551
USD 5,680
USD 1,424
USD 2,890
USD 10,141
USD -
USD 4,145
USD -
USD -","$ -
-
-
-
-
-
USD 58,185
USD 14
( USD 8 )
( USD 13 )
( USD 42 )
( USD 19 )
USD -
( USD 47 )
( USD 29 )
( USD 111 )
USD -
( USD 45 )
USD -
USD -","11,500
2,791
-
100
-
-
1,111
-
-
-
-
-
-
-
-
-
-
-
-
-","$ 341,369,324
55,731,847
3,822,661
998,581
-
-
USD 138,837
USD 82,268
USD 69,077
USD 65,075
USD 59,251
USD 53,425
USD 35,534
USD 30,492
USD 28,968
USD 27,044
USD 24,517
USD 21,769
USD 20,872
USD 16,659"
,"資
TSMC Arizona
JASM
Emerging Fund
商業本票
南亞塑膠工業股份有限公
司
台灣電力股份有限公司
台灣塑膠工業股份有限公
司
上市（櫃）公司股票
ARM Holdings plc
公 司 債
Morgan Stanley
JPMorgan Chase & Co.
Wells Fargo & Company
Citigroup Inc.
The Goldman Sachs
Group, Inc.
BNP Paribas SA
Principal Life Global
Funding II
Sumitomo Mitsui Trust
Bank, Limited
Mitsubishi UFJ Financial
Group, Inc.
Hyundai Capital
America
Bristol-Myers Squibb
Company
Glencore Funding LLC
NatWest Group plc",,,,,,,,,,,,,
