帳列應收款項之公司,交易對象名稱,關係,"應收關係人款項
餘額（註1）",週轉率,逾期應收關係人款項,,"應收關係人款項
期後收回金額
(註2)",提列備抵呆帳金額
,,,,,金額,處理方式,,
DELTA ELECTRONICS (NORWAY) AS,"Delta Electronics (Slovakia), s.r.o.",聯屬公司,"$ 4 31,640",-,$ -,,-,
Delta Electronics (Americas) Ltd.,"Delta Electronics Int’l (Singapore)
Pte. Ltd.",聯屬公司,"1 11,903",-,-,,-,
"Delta Electronics Int’l (Singapore)
Pte. Ltd.","Delta Electronics (Slovakia), s.r.o.",聯屬公司,"1 06,214",6 .09,"7 ,389",,-,
March Networks Corporation,"March Networks, Inc.",聯屬公司,"3 61,808",5 .83,-,,"1 05,797",
Universal Instruments Corporation,環球精密設備製造(深圳)有限公司,聯屬公司,"2 97,000",0 .45,-,,-,
TB&C Outsert Center GmbH,TB&C Holding GmbH,聯屬公司,"2 19,629",-,-,,-,
