持 有 之 公 司,有 價 證 券 種 類 及 名 稱,"與 有 價 證 券
發 行 人 之 關 係",帳 列 科 目,期 末,,,,備 註
,,,,"股數／單位
數 （ 仟 ）","帳 面 金 額
（外幣為仟元）",持股比率（％）,"公 允 價 值
（外幣為仟元）",
TSMC Global,"Bank 2023-BNK46
Honda Auto Receivables 2024-1 Owner
Trust
Benchmark 2023-B39 Mortgage Trust
MSWF Commercial Mortgage Trust 2023-1
Wells Fargo Commercial Mortgage Trust
2016-C35
Wells Fargo Commercial Mortgage Trust
2021-C59
CSAIL 2018-CX11
Bank 2017-Bnk6
Morgan Stanley Capital I Trust 2016 - BNK2
Fund
GM Financial Revolving Receivables Trust
2021-1
Bank 2017-BNK9
MRCD 2019-Prkc Mortgage Trust
Benchmark 2023-V3 Mortgage Trust
Msbam 2016-C29
JPMCC 2017-JP7
Bmw Vehicle Owner Trust 2023-A
BANK 2017-BNK5
Discover Card Execution Note Trust
Citigroup Commercial Mortgage Trust
2019-Gc43
Msbam 2016-C31
Bank 2019-Bnk22
Commerce 2015-CCRE24 Mortgage Trust
WFRBS Commercial Mortgage Trust 2014-
C25
Five 2023-V1 Mortgage Trust
Bmo 2023-C5 Mortgage Trust
Sreit Commercial Mortgage Trust 2021-Mfp
CGCMT 2017-P8 Mortgage Trust","－
－
－
－
－
－
－
－
－
－
－
－
－
－
－
－
－
－
－
－
－
－
－
－
－
－
－","透過其他綜合損益按公允
價值衡量之金融資產
〃
〃
〃
〃
〃
〃
〃
〃
〃
〃
〃
〃
〃
〃
〃
〃
〃
〃
〃
〃
〃
〃
〃
〃
〃
〃","-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-","USD 5,244
USD 5,174
USD 5,166
USD 5,160
USD 5,040
USD 4,865
USD 4,806
USD 4,799
USD 4,688
USD 4,553
USD 4,187
USD 4,083
USD 4,081
USD 4,015
USD 3,744
USD 3,615
USD 3,596
USD 3,494
USD 3,216
USD 3,024
USD 3,010
USD 3,008
USD 2,952
USD 2,872
USD 2,803
USD 2,755
USD 2,670","不適用
不適用
不適用
不適用
不適用
不適用
不適用
不適用
不適用
不適用
不適用
不適用
不適用
不適用
不適用
不適用
不適用
不適用
不適用
不適用
不適用
不適用
不適用
不適用
不適用
不適用
不適用","USD 5,244
USD 5,174
USD 5,166
USD 5,160
USD 5,040
USD 4,865
USD 4,806
USD 4,799
USD 4,688
USD 4,553
USD 4,187
USD 4,083
USD 4,081
USD 4,015
USD 3,744
USD 3,615
USD 3,596
USD 3,494
USD 3,216
USD 3,024
USD 3,010
USD 3,008
USD 2,952
USD 2,872
USD 2,803
USD 2,755
USD 2,670",
