編號,背書保證者公司名稱,被背書保證對象,,"對單一企業
背書保證限額","本期最高
背書保證餘額
(註3)","期末背書
保證餘額","期末實際
動支金額","以財產擔保之
背書保證金額","累計背書保證金額
占最近期財務報表
淨值之比率","背書保證
最高限額","屬母公司對子
公司背書保證","屬子公司對母公
司背書保證","屬對大陸地區
背書保證"
,,公司名稱,"關係
(註2)",,,,,,,,,,
0,聯發科技(股)公司,Gaintech Co. Limited,(1),"$ 77,553,919
(註1)","$ 24,000,000","$ 24,000,000",$ -,$ -,6.19%,"$ 193,884,797",Y,N,N
,,聯發科中國有限公司,(1),"$ 77,553,919
(註1)","$ 9,000,000","$ 9,000,000",$ -,$ -,2.32%,,Y,N,N
