基本每股盈餘
"歸屬於母公司普通股股東
之本期淨利"
稀釋每股盈餘
"歸屬於母公司普通股股東
之本期淨利
具稀釋作用之潛在普通股
之影響"
"員工酬勞
海外可轉換公司債"
"歸屬於母公司普通股股東
之本期淨利加潛在普通
股之影響"
