,114年3月31日 113年12月31日 113年3月31日,,,,,
可轉換公司債,,"$ 40,168,419",,"$ 37,668,419",,"$ 19,183,116"
減:應付公司債折價,,"(3,752,062)",,"(3,753,537)",,-
小計,,"36,416,357",,"33,914,882",,"19,183,116"
普通公司債,,"201,850,000
73,394,100",,"194,350,000
72,465,900",,"196,200,000"
海外普通公司債,,,,,,"71,248,000"
總計,,"311,660,457",,"300,730,782",,"286,631,116"
"減：一年內到期或可賣回
之公司債
(表列「一年或一營業週
期內到期長期負債」)",,"(44,818,000)",,"(45,682,000)",,"(43,561,116)"
,,"$ 266,842,457",,"$ 255,048,782",,"$ 243,070,000"
