公司名稱,"本期期末累計自台灣匯出赴
大陸地區投資金額","經濟部投審司
核准投資金額","依經濟部投審司規定赴大陸
地區投資限額"
"台達電子工業股份有限公司
(註2及註3)","$ 42,932,384","$ 42,932,384",
"乾坤科技股份有限公司
(註5)",-,"6,282,797","19,855,845"
"達爾生技股份有限公司
(註4及註6)","106,770","106,770","72,497"
