持 有 之 公 司,有 價 證 券 種 類 及 名 稱,"與 有 價 證 券
發 行 人 之 關 係",帳 列 科 目,期 末,,,,備 註
,,,,"股數／單位
數 （ 仟 ）","帳 面 金 額
（外幣為仟元）",持股比率（％）,"公 允 價 值
（外幣為仟元）",
TSMC Global,"American International Group, Inc.
Sprint Spectrum Co Llc
Cummins Inc.
NSTAR Electric Company
National Rural Utilities Cooperative
Finance Corporation
Alimentation Couche-Tard Inc.
Dollar General Corporation
Duke Energy Florida, LLC
Jersey Central Power & Light Company
Eastern Gas Transmission and Storage, Inc.
Northrop Grumman Corporation
Andrew W. Mellon Foundation, The
The Williams Companies, Inc.
Pernod Ricard International Finance LLC
Union Pacific Corporation
NiSource Finance Corporation
Ecolab Inc.
Sysco Corporation
Mondelez International Holdings
Netherlands B.V.
Ferguson Finance PLC
Columbia Pipeline Group, Inc.
Nucor Corporation
AIB Group plc
Niagara Mohawk Power Corporation
Enterprise Products Operating LLC
New York State Electric & Gas Corporation
EDP Finance B.V.
PacifiCorp
Sabine Pass Liquefaction, LLC
CBRE Services, Inc.
Suntory Holdings Limited
Canadian Pacific Railway Company","－
－
－
－
－
－
－
－
－
－
－
－
－
－
－
－
－
－
－
－
－
－
－
－
－
－
－
－
－
－
－
－","透過其他綜合損益按公允
價值衡量之金融資產
〃
〃
〃
〃
〃
〃
〃
〃
〃
〃
〃
〃
〃
〃
〃
〃
〃
〃
〃
〃
〃
〃
〃
〃
〃
〃
〃
〃
〃
〃
〃","-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-","USD 1,479
USD 1,455
USD 1,454
USD 1,451
USD 1,443
USD 1,433
USD 1,433
USD 1,432
USD 1,416
USD 1,322
USD 1,300
USD 1,256
USD 1,247
USD 1,237
USD 1,220
USD 1,217
USD 1,194
USD 1,183
USD 1,114
USD 1,109
USD 1,085
USD 1,073
USD 1,053
USD 1,047
USD 1,031
USD 1,023
USD 1,015
USD 1,008
USD 1,008
USD 1,007
USD 981
USD 955","不適用
不適用
不適用
不適用
不適用
不適用
不適用
不適用
不適用
不適用
不適用
不適用
不適用
不適用
不適用
不適用
不適用
不適用
不適用
不適用
不適用
不適用
不適用
不適用
不適用
不適用
不適用
不適用
不適用
不適用
不適用
不適用","USD 1,479
USD 1,455
USD 1,454
USD 1,451
USD 1,443
USD 1,433
USD 1,433
USD 1,432
USD 1,416
USD 1,322
USD 1,300
USD 1,256
USD 1,247
USD 1,237
USD 1,220
USD 1,217
USD 1,194
USD 1,183
USD 1,114
USD 1,109
USD 1,085
USD 1,073
USD 1,053
USD 1,047
USD 1,031
USD 1,023
USD 1,015
USD 1,008
USD 1,008
USD 1,007
USD 981
USD 955",
