持 有 之 公 司,有 價 證 券 種 類 及 名 稱,"與 有 價 證 券
發 行 人 之 關 係",帳 列 科 目,期 末,,,,備 註
,,,,"股數／單位
數 （ 仟 ）","帳 面 金 額
（外幣為仟元）",持股比率（％）,"公 允 價 值
（外幣為仟元）",
TSMC Global,"Protective Life Global Funding
Southern California Edison Company
Intuit Inc.
Pfizer Investment Enterprises Pte. Ltd.
Apple Inc.
Nomura Holdings, Inc.
Northwestern Mutual Global Funding
Bank of Montreal
The Bank of Nova Scotia
Société Générale Société anonyme
ERAC USA Finance LLC
ASB Bank Limited
Coöperatieve Rabobank U.A.
Amazon.com, Inc.
DTE Energy Company
BAE Systems plc
AT&T Inc.
Deutsche Bank AG - New York Branch
Verizon Communications Inc.
Exelon Corporation
Nordea Bank Abp
S&P Global Inc.
Macquarie Group Limited
Mercedes-Benz Finance North America LLC
Svenska Handelsbanken AB (publ)
T-Mobile USA, Inc.
John Deere Capital Corporation
General Motors Financial Company, Inc.
The PNC Financial Services Group, Inc.
Roper Technologies, Inc.
Public Service Enterprise Group
Incorporated
Standard Chartered PLC
LSEG US Fin Corp.","－
－
－
－
－
－
－
－
－
－
－
－
－
－
－
－
－
－
－
－
－
－
－
－
－
－
－
－
－
－
－
－
－","透過其他綜合損益按公允
價值衡量之金融資產
〃
〃
〃
〃
〃
〃
〃
〃
〃
〃
〃
〃
〃
〃
〃
〃
〃
〃
〃
〃
〃
〃
〃
〃
〃
〃
〃
〃
〃
〃
〃
〃","-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-","USD 12,990
USD 12,780
USD 12,548
USD 12,447
USD 12,440
USD 12,052
USD 11,813
USD 11,754
USD 11,596
USD 11,555
USD 11,536
USD 11,459
USD 11,435
USD 11,348
USD 11,284
USD 11,137
USD 11,057
USD 10,821
USD 10,560
USD 10,526
USD 10,523
USD 10,504
USD 10,311
USD 10,267
USD 9,880
USD 9,745
USD 9,684
USD 9,340
USD 9,298
USD 9,244
USD 9,205
USD 9,106
USD 9,042","不適用
不適用
不適用
不適用
不適用
不適用
不適用
不適用
不適用
不適用
不適用
不適用
不適用
不適用
不適用
不適用
不適用
不適用
不適用
不適用
不適用
不適用
不適用
不適用
不適用
不適用
不適用
不適用
不適用
不適用
不適用
不適用
不適用","USD 12,990
USD 12,780
USD 12,548
USD 12,447
USD 12,440
USD 12,052
USD 11,813
USD 11,754
USD 11,596
USD 11,555
USD 11,536
USD 11,459
USD 11,435
USD 11,348
USD 11,284
USD 11,137
USD 11,057
USD 10,821
USD 10,560
USD 10,526
USD 10,523
USD 10,504
USD 10,311
USD 10,267
USD 9,880
USD 9,745
USD 9,684
USD 9,340
USD 9,298
USD 9,244
USD 9,205
USD 9,106
USD 9,042",
