"編號
(註1)",交易人名稱,交易往來對象,"與交易人之關係
(註2)",交易往來情形,,,
,,,,科目,"金額
(註7)",交易條件,"佔合併總營收或
總資產之比率
(註3)"
0,台達電子工業股份有限公司,Delta Electronics Int’l (Singapore) Pte. Ltd.,子公司,營業收入,"$ 5 ,600,381",(註4),4.71
0,台達電子工業股份有限公司,"Delta Electronics (Thailand) Public Company
Limited",子公司,營業收入,"2 ,082,937",(註4),1.75
0,台達電子工業股份有限公司,DEI Logistics (USA) Corp.,子公司,營業收入,"3 ,799,958",(註5),3.20
0,台達電子工業股份有限公司,Delta Electronics (Americas) Ltd.,子公司,營業收入,"4 ,397,958",(註4),3.70
1,台達電子(東莞)有限公司,台達電子企業管理(上海)有限公司,聯屬公司,營業收入,"1 ,629,360",(註4),1.37
1,台達電子(東莞)有限公司,Delta Electronics Int’l (Singapore) Pte. Ltd.,聯屬公司,營業收入,"1 0,648,280",(註4),8.95
2,中達電子(江蘇)有限公司,台達電子企業管理(上海)有限公司,聯屬公司,營業收入,"4 ,284,533",(註4),3.60
2,中達電子(江蘇)有限公司,Delta Electronics Int’l (Singapore) Pte. Ltd.,聯屬公司,營業收入,"1 3,295,617",(註4),11.18
3,台達電子企業管理(上海)有限公司,中達電通股份有限公司,聯屬公司,營業收入,"4 ,004,708",(註4),3.37
4,中達電子(蕪湖)有限公司,Delta Electronics Int’l (Singapore) Pte. Ltd.,聯屬公司,營業收入,"1 ,205,114",(註4),1.01
5,台達電子(郴州)有限公司,Delta Electronics Int’l (Singapore) Pte. Ltd.,聯屬公司,營業收入,"1 ,221,009",(註4),1.03
6,吳江華豐電子科技有限公司,Delta Electronics Int’l (Singapore) Pte. Ltd.,聯屬公司,營業收入,"3 ,691,216",(註4),3.10
7,華豐電子科技(蕪湖)有限公司,Delta Electronics Int’l (Singapore) Pte. Ltd.,聯屬公司,營業收入,"1 ,390,238",(註4),1.17
8,"Delta Electronics Int’l (Singapore) Pte.
Ltd.",台達電子(東莞)有限公司,聯屬公司,營業收入,"6 ,439,757",(註4),5.42
8,"Delta Electronics Int’l (Singapore) Pte.
Ltd.",中達電子(江蘇)有限公司,聯屬公司,營業收入,"5 ,323,626",(註4),4.48
