"編號
(註1)",交易人名稱,交易往來對象,"與交易
人之關
係(註2)",交易往來情形,,,
,,,,科 目,金 額,交易條件,"佔合併總營業收入
或總資產之比率(註3)"
"0
〞
〞
〞
〞
〞","廣達電腦(股)公司
〞
〞
〞
〞
〞","QCH、QCT-USA、
QDL(HK)、QCTK、QCTJ、
達群(上海)電腦有限公司
達豐(上海)電腦有限公
司、達功(上海)電腦有限
公司、達豐(重慶)電腦有
限公司、QMB、QDL(HK)、
QCH、QMH
QCH、QCT-USA、QCTJ、
QCTK、QCTS、雲達科技
(股)公司
QMB、QMH
QCH
達功(上海)電腦有限公
司、達豐(上海)電腦有限
公司、達豐(重慶)電腦有
限公司、QDL(HK)","1
1
1
1
1
1","銷貨
進貨
應收帳款
其他應收款
長期應收款
應付帳款","173,267,266
254,865,132
205,516,924
4,588,434
69,561,954
75,630,627","無一般交易對象可資比較
無一般交易對象可資比較
與一般交易對象相同
與一般交易對象相同
與一般交易對象相同
與一般交易對象相同","35.68%
52.48%
19.69%
0.44%
6.66%
7.25%"
