"大陸被投資
公司名稱",主要營業項目,實收資本額,"投資方式
(註3(2))","本期期初自台灣
匯出累積投資金額",本期匯出或收回投資金額,,"本期期末自台灣
匯出累積投資金額","被投資公司
本期(損)益","本公司直接
或間接投資
之持股比例","本期認列
投資(損)益
(註2)",期末投資帳面價值,"截至本期止
已匯回台灣
之投資收益"
,,,,,匯出,收回,,,,,,
上海立隆微電子有限公司,技術服務,"$ 106,256
USD 3,200",立錡科技(股)公司,"$ 106,256
USD 3,200","-
-","-
-","$ 106,256
USD 3,200","$ 3,411",100%,"$ 3,411","$ 43,796","-
-"
達發科技(蘇州)有限公司,"研發、生產及
銷售","$ 332,050
USD 10,000",Airoha Technology (HK) Limited,"$ 332,050
USD 10,000","-
-","-
-","$ 332,050
USD 10,000","$ 200,903
USD 6,110",70%,"$ 140,612
USD 4,276","$ 3,061,415
USD 92,197","$ 7,645,610
USD 230,255"
達發軟件(深圳)有限公司,"研發及技術服
務","$ 31,545
USD 950",Airoha (Cayman) Inc.,"$ 31,545
USD 950","-
-","-
-","$ 31,545
USD 950","$ 4,201
USD 128",70%,"$ 2,940
USD 89","$ 88,138
USD 2,654","-
-"
達發芯科技(成都)有限公司,研發,"$ 31,545
USD 950",Airoha (Cayman) Inc.,"$ 31,545
USD 950","-
-","-
-","$ 31,545
USD 950","$ 2,964
USD 90",70%,"$ 2,074
USD 63","$ 97,404
USD 2,933","-
-"
