帳列應收款項之公司,交易對象名稱,關係,"應收關係人款項
餘額（註1）",週轉率,逾期應收關係人款項,,"應收關係人款項
期後收回金額
(註2)",提列備抵呆帳金額
,,,,,金額,處理方式,,
"Delta Electronics (Japan), Inc.","Delta Electronics Int’l (Singapore)
Pte. Ltd.",聯屬公司,"$ 1 22,944",8 .63,$ -,,"$ 9 9,789",
"Delta Electronics (Myanmar) Co., Ltd.","Delta Electronics (Thailand) Public
Company Limited",聯屬公司,"1 09,711",-,"1 09,238",,-,
Delta Electronics (Netherlands) B.V.,"Delta Electronics Int’l (Singapore)
Pte. Ltd.",聯屬公司,"1 20,149",9 .91,"1 9,480",,"9 6,405",
Delta Electronics (Netherlands) B.V.,"Delta Greentech Electronics Industry
LLC",聯屬公司,"4 48,832",2 .58,"2 0,982",,-,
DELTA ELECTRONICS (NORWAY) AS,DELTA Electronics (Germany) GmbH,聯屬公司,"1 05,817",5 .56,-,,-,
DELTA ELECTRONICS (NORWAY) AS,DELTA ELECTRONICS (France) SAS,聯屬公司,"1 71,596",4 .23,-,,-,
DELTA ELECTRONICS (NORWAY) AS,Eltek s.r.o.,聯屬公司,"4 83,162",2 .45,"7 4,772",,1 22,
"Delta Electronics Int’l (Singapore)
Pte. Ltd.",DELTA ELECTRONICS BRASIL LTDA.,聯屬公司,"1 80,053",2 .82,2 02,,"2 9,901",
"Delta Electronics Int’l (Singapore)
Pte. Ltd.",台達電子(東莞)有限公司,聯屬公司,"5 ,362,791",9 .61,-,,"1 ,157,376",
"Delta Electronics Int’l (Singapore)
Pte. Ltd.",Delta Electronics ( Switzerland ) AG,聯屬公司,"3 17,309",2 .38,-,,"9 1,394",
"Delta Electronics Int’l (Singapore)
Pte. Ltd.",中達電子(江蘇)有限公司,聯屬公司,"2 ,322,757",9 .45,-,,"1 ,328,293",
"Delta Electronics Int’l (Singapore)
Pte. Ltd.",中達電子(蕪湖)有限公司,聯屬公司,"6 03,729",5 .46,"6 ,813",,-,
"Delta Electronics Int’l (Singapore)
Pte. Ltd.",台達電子(郴州)有限公司,聯屬公司,"1 ,093,985",3 .31,"2 41,088",,"2 15,833",
"Delta Electronics Int’l (Singapore)
Pte. Ltd.",乾坤科技股份有限公司,聯屬公司,"1 ,630,273",2 .49,-,,-,
"Delta Electronics Int’l (Singapore)
Pte. Ltd.",吳江華豐電子科技有限公司,聯屬公司,"2 72,646",5 .14,-,,-,
"Delta Electronics Int’l (Singapore)
Pte. Ltd.",DELTA ELECTRONICS SOLUTIONS (SPAIN) SL,聯屬公司,"1 55,063",2 .58,-,,"3 6,524",
"Delta Electronics Int’l (Singapore)
Pte. Ltd.",Delta Electronics India Pvt. Ltd.,聯屬公司,"5 34,658",2 .88,8 73,,-,
