持有之公司,"有價證券
種類及名稱","與有價證券
發行人之關係",帳列科目,期 末,,,,備 註
,,,,股 數,帳面金額,持股比率,公允價值(註1),
"本公司
〞
〞
〞
〞
〞
〞
〞
〞
〞
〞
〞
〞
〞
〞
〞","受益憑證－基金
統一強棒貨幣市場基金
台新1699貨幣市場基金
台新大眾貨幣市場基金
聯邦貨幣市場基金
第一金台灣貨幣市場基金
富邦吉祥貨幣市場基金
元大得利貨幣市場基金
中國信託華盈貨幣市場基金
富蘭克林華美貨幣市場基金
群益安穩貨幣市場基金
華南永昌鳳翔貨幣市場基金
元大萬泰貨幣市場基金
元大得寶貨幣市場基金
永豐貨幣市場基金
兆豐寶鑽貨幣市場基金
新光吉星貨幣市場基金","-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-","強制透過損益按
公允價值衡量之
金融資產－流動
〞
〞
〞
〞
〞
〞
〞
〞
〞
〞
〞
〞
〞
〞
〞","316,063,644
269,979,529
125,619,625
136,717,140
185,312,035
162,863,976
46,573,880
136,338,985
37,054,271
136,412,759
195,966,641
84,242,430
104,036,114
73,502,818
94,546,304
17,862,220","5,518,566
3,834,627
1,868,843
1,889,048
2,970,163
2,670,008
794,862
1,570,516
401,035
2,303,248
3,336,293
1,333,743
1,307,463
1,070,326
1,241,365
289,059","- %
- %
- %
- %
- %
- %
- %
- %
- %
- %
- %
- %
- %
- %
- %
- %","5,518,566
3,834,627
1,868,843
1,889,048
2,970,163
2,670,008
794,862
1,570,516
401,035
2,303,248
3,336,293
1,333,743
1,307,463
1,070,326
1,241,365
289,059",
