"編號
（註1）","貸出資金
之公司",貸與對象,往來項目,"是否為
關係人","累計至本月止最高餘
額
（註2）",期末餘額,"實際動支
金額","利率區
間","資金貸
與性質
(註6)","業務往來
金額","有短期融
通資金必
要之原因","提列備抵
呆帳金額",擔保品,,"對個別對象
資金貸與限
額","資金貸與
總限額",備註
,,,,,,,,,,,,,名稱,價值,,,
7,台達電子企業管理(上海)有限公司,華豐電子科技(蕪湖)有限公司,其他應收款-關係人,是,"$ 6 86,768","$ 6 86,768","$ 6 86,768",3.10%,2,$ -,營業週轉,$ -,無,$ -,"$ 9 ,899,040","$ 9 ,899,040",註5
7,台達電子企業管理(上海)有限公司,台達電子(重慶)有限公司,其他應收款-關係人,是,"2 ,609,717","2 ,609,717","6 40,983",3.60%,2,-,營業週轉,-,無,-,"9 ,899,040","9 ,899,040",註5
8,"Vivotek USA, Inc.","Wellstates Investment, LLC",其他應收款-關係人,是,"2 6,704","2 5,467","2 5,467",3.90%,2,-,營業週轉,-,無,-,"4 69,244","4 69,244",註5
9,Universal Instruments Corporation,環儀精密設備製造(深圳)有限公司,其他應收款-關係人,是,"1 09,188","1 09,188","1 09,188",0.00%,2,-,營業週轉,-,無,-,"2 ,343,605","2 ,343,605",註5
10,"TB&C Outsert Mexico, S. De R.L. DE
C.V.",TB&C Outsert International B.V.,其他應收款-關係人,是,"8 2,914","8 2,914","8 2,914",4.00%,2,-,營業週轉,-,無,-,"7 51,382","7 51,382",註5
11,Delta Electronics India Pvt. Ltd.,"DELTA ELECTRONICS INDIA
MANUFACTURING PRIVATE LIMITED",其他應收款-關係人,是,"1 ,002,433","1 ,002,433","3 34,144",8.65%,2,-,營業週轉,-,無,-,"1 2,031,426","1 2,031,426",註5
