代碼,負債及權益,附註,一一四年三月三十一日,,一一三年十二月三十一日,,一一三年三月三十一日,
,,,金 額,％,金 額,％,金 額,％
"2100
2120
2130
2170
2180
2200
2220
2230
2280
2320
2399
21xx
2610
2640
2645
2570
2580
2670
25xx
2xxx
3100
3110
3200
3300
3310
3350
3400
3500
31xx
36xx
3xxx","流動負債
短期借款
透過損益按公允價值衡量之金融負債－流動
合約負債－流動
應付帳款
應付帳款－關係人
其他應付款
其他應付款項－關係人
本期所得稅負債
租賃負債－流動
一年內到期長期負債
其他流動負債
流動負債合計
非流動負債
長期應付款
淨確定福利負債－非流動
存入保證金
遞延所得稅負債
租賃負債－非流動
其他非流動負債－其他
非流動負債合計
負債總計
歸屬於母公司業主之權益
股本
普通股股本
資本公積
保留盈餘
法定盈餘公積
未分配盈餘
其他權益
庫藏股票
歸屬於母公司業主之權益
非控制權益
權益總計
負債及權益總計","六.14
六.2
六.21及七
七
六.15
七
四及六.30
六.23
六.16
六.17
七
四及六.30
六.23
六.18及九
六.19
六.19及六.20
六.19
六.20
六.19
六.19","$ 31,240,000
9,664
4,560,117
38,868,406
1,939,604
86,369,083
45,225
19,178,161
1,026,172
5,343,838
107,961,141
296,541,411
2,096,323
489,286
200,031
10,943,349
8,535,946
3,685,671
25,950,606
322,492,017
16,016,624
31,915,520
94,259,643
195,371,288
50,262,488
(55,970)
387,769,593
8,022,201
395,791,794
$ 718,283,811","4
-
1
5
-
12
-
3
-
1
15
41
-
-
-
2
1
1
4
45
2
5
13
27
7
-
54
1
55
100","$ 940,000
4,229
4,318,428
38,735,333
2,041,173
110,342,579
61,710
13,059,756
995,267
7,979,049
88,424,802
266,902,326
2,681,442
534,237
196,400
10,556,716
8,375,041
3,566,021
25,909,857
292,812,183
16,016,880
31,636,053
89,308,524
210,598,743
49,122,847
(55,970)
396,627,077
8,428,270
405,055,347
$ 697,867,530","-
-
1
5
-
16
-
2
-
1
13
38
-
-
-
2
1
1
4
42
2
5
13
30
7
-
57
1
58
100","$ 7,820,000
4,782
4,081,195
37,948,049
2,048,501
91,613,155
108,072
17,801,033
949,169
4,534,431
80,755,663
247,664,050
3,613,678
614,705
187,113
8,620,367
8,587,007
3,164,720
24,787,590
272,451,640
15,996,234
28,855,880
75,782,948
195,660,416
52,689,505
(55,970)
368,929,013
5,944,697
374,873,710
$ 647,325,350","-
-
1
6
-
15
-
3
-
1
12
38
-
-
-
2
2
-
4
42
3
4
12
30
8
-
57
1
58
100"
