投資活動之現金流量
"取得透過損益按公允價值衡量之金融資產
處分透過損益按公允價值衡量之金融資產
(取得)處分按攤銷後成本衡量之金融資產－流動淨額
取得按攤銷後成本衡量之金融資產－非流動"
"取得透過其他綜合損益按公允價值衡量之金融資產
處分透過其他綜合損益按公允價值衡量之金融資產
其他應收款－關係人增加
其他流動資產增加
取得子公司之淨現金流入
取得採用權益法之投資
處分採用權益法之投資
採用權益法之投資退回股款
取得不動產、廠房及設備
處分不動產、廠房及設備
處分投資性不動產
取得使用權資產
處分使用權資產
取得無形資產
處分無形資產
其他非流動資產(增加)減少
收取之股利
收取之利息
其他投資活動"
投資活動之淨現金(流出)流入
籌資活動之現金流量
"短期借款增加(減少)
應付短期票券增加(減少)
發行公司債
償還公司債
舉借長期借款
償還長期借款
其他非流動負債減少
租賃本金償還
其他非控制權益變動
發放非控制權益現金股利
支付之利息"
籌資活動之淨現金流入(流出)
