"投資公司
名 稱","被投資公司
名 稱","所在
地區","主要營
業項目",原始投資金額,,期末持有,,,"被投資公司
本期損益","本期認列之
投資損益",備註
,,,,本期期末,去年年底,股數,比率,帳面金額,,,
"達啟投資
(股)公司","達威電子(股)公司
及其子公司",台灣,"電子業及電子
產品進出口及
批發","115,500","115,500","5,775,000",24.81%,"121,727","6,249","1,550",
