營業活動之現金流量
本期稅前淨利
"調整項目
收益費損項目"
"折舊費用
攤銷費用
股份基礎給付酬勞成本
預期信用(迴轉利益)減損損失
減損損失
處分不動產、廠房及設備損失(利益)
透過損益按公允價值衡量金融資產及負債之利益
採用權益法認列之關聯企業及合資損益之份額
處分投資(利益)損失
利息費用
利息收入
股利收入"
"租賃修改利益
處分無形資產利益
處分使用權資產利益"
與營業活動相關之資產/負債變動數
與營業活動相關之資產之淨變動
強制透過損益按公允價值衡量之金融資產
避險之金融工具
應收票據
應收帳款
應收帳款－關係人
其他應收款
存貨
預付款項
與營業活動相關之負債之淨變動
應付帳款
應付帳款－關係人
其他應付款
負債準備
合約負債
其他流動負債
應計退休金負債
營運產生之現金(流出)流入
支付之所得稅
營運活動之淨現金(流出)流入
