買 、 賣 之 公 司,有價證券種類及名稱,帳 列 科 目,交易對象,關 係,期 初,,買 入,,賣 出,,,,期 末 （ 註 ）,
,,,,,"股數／單位
數 （ 仟 ）","金 額
（外幣為仟元）","股數／單位
數 （ 仟 ）","金 額
（外幣為仟元）","股數／單位
數 （ 仟 ）","售 價
（外幣為仟元）","帳 面 成 本
（外幣為仟元）","處 分 損 益
（外幣為仟元）","股數／單位
數 （ 仟 ）","金 額
（外幣為仟元）"
TSMC Global,"SMBC Aviation Capital
Finance DAC
DTE Energy Company
BAE Systems plc
Mercedes-Benz Finance
North America LLC
Bank of America
Corporation
Wells Fargo & Company
Morgan Stanley
Citigroup Inc.
The Goldman Sachs
Group, Inc.
JPMorgan Chase & Co.
Goldman Sachs Finance
Corp International Ltd
Citigroup Global
Markets Inc.
Citigroup Global
Markets Holdings Inc.
政府機構不動產抵押貸款","透過其他綜合損益按公
允價值衡量之金融資
產
〃
〃
〃
按攤銷後成本衡量之金
融資產
〃
〃
〃
〃
〃
〃
〃
〃
透過其他綜合損益按公
允價值衡量之金融資
產
〃
〃
透過其他綜合損益按公
允價值衡量之金融資
產
按攤銷後成本衡量之金
融資產
〃
〃","－
－
－
－
－
－
－
－
－
－
－
－
－
－
－
－
－
－
－
－","－
－
－
－
－
－
－
－
－
－
－
－
－
－
－
－
－
－
－
－","-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-","USD 1,747
USD 1,685
USD -
USD -
USD 799,449
USD 619,830
USD 566,880
USD 271,462
USD 432,811
USD 391,868
USD 99,905
USD 149,951
USD 99,968
USD 658,944
USD 350,328
USD 225,310
USD 718,479
USD 88,940
USD 225,000
USD 135,000","-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-","USD 11,997
USD 9,594
USD 11,076
USD 10,294
USD 55,565
USD 102,372
USD 29,543
USD 212,178
USD 29,886
USD 14,443
USD 110,000
USD -
USD -
USD 47,321
USD 16,761
USD 50,491
USD 10,530
USD 29,667
USD 30,000
USD 30,000","-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-","USD -
USD -
USD -
USD -
USD 124,000
USD 15,000
USD -
USD -
USD 68,000
USD 95,000
USD 100,000
USD 150,000
USD 100,000
USD 18,914
USD 12,130
USD 6,836
USD 55,482
USD -
USD 200,000
USD 135,000","USD -
USD -
USD -
USD -
USD 124,000
USD 15,000
USD -
USD -
USD 68,000
USD 95,000
USD 100,000
USD 150,000
USD 100,000
USD 18,949
USD 12,269
USD 6,942
USD 56,320
USD -
USD 200,000
USD 135,000","USD -
USD -
USD -
USD -
USD -
USD -
USD -
USD -
USD -
USD -
USD -
USD -
USD -
( USD 35 )
( USD 139 )
( USD 106 )
( USD 838 )
USD -
USD -
USD -","-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-","USD 13,738
USD 11,284
USD 11,137
USD 10,267
USD 733,692
USD 709,881
USD 599,243
USD 484,859
USD 395,526
USD 313,591
USD 109,895
USD -
USD -
USD 676,978
USD 349,415
USD 265,032
USD 670,867
USD 118,669
USD 55,000
USD 30,000"
,"債券
FEDERAL NATIONAL
MORTGAGE
ASSOCIATION
Federal Home Loan
Mortgage Corporation
Government National
Mortgage Association
政府公債／政府機構債券",,,,,,,,,,,,,
,"United States
Department of The
Treasury
United States
Department of The
Treasury
Federal Home Loan
Banks
Federal Home Loan
Mortgage Corporation",,,,,,,,,,,,,
