代碼,資 產,附 註,一一四年三月三十一日,,一一三年十二月三十一日,,一一三年三月三十一日,
,,,金 額,％,金 額,％,金 額,％
"1100
1110
1120
1136
1150
1170
1180
1197
1200
1220
130x
1410
1470
11xx
1510
1517
1535
1550
1600
1755
1760
1780
1840
1920
194D
1975
1995
15xx
1xxx","流動資產
現金及約當現金
透過損益按公允價值衡量之金融資產－流動
透過其他綜合損益按公允價值衡量之金融資產－流動
按攤銷後成本衡量之金融資產－流動
應收票據淨額
應收帳款淨額
應收帳款－關係人淨額
應收融資租賃款淨額
其他應收款
本期所得稅資產
存貨
預付款項
其他流動資產
流動資產合計
非流動資產
透過損益按公允價值衡量之金融資產－非流動
透過其他綜合損益按公允價值衡量之金融資產－非流動
按攤銷後成本衡量之金融資產－非流動
採用權益法之投資
不動產、廠房及設備
使用權資產
投資性不動產淨額
無形資產
遞延所得稅資產
存出保證金
長期應收融資租賃款淨額
淨確定福利資產－非流動
其他非流動資產－其他
非流動資產合計
資產總計","六.1
六.2
六.3
六.4
六.22
六.5及六.22
六.5、六.22及七
六.22及六.23
六.6及七
四及六.30
六.7
六.8及九
九
六.2
六.3
六.4及八
六.9
六.10
六.23
六.11
六.12、六.13及七
四及六.30
九
六.22及六.23
六.17
九","$ 195,689,046
3,619,752
5,914,665
5,221,389
-
79,052,090
99,439
545,919
8,577,975
1,026,274
54,537,417
21,828,804
2,383,008
378,495,778
4,680,125
73,397,875
72,255,945
19,160,482
57,367,961
9,104,278
2,574,456
81,645,990
16,390,432
2,638,477
-
40,679
531,333
339,788,033
$ 718,283,811","27
1
1
1
-
11
-
-
1
-
8
3
-
53
1
10
10
3
8
1
-
12
2
-
-
-
-
47
100","$ 203,695,892
5,271,003
6,266,087
4,390,824
-
43,944,786
40,666
727,892
7,056,968
1,574,062
58,414,245
15,865,797
3,777,240
351,025,462
4,528,285
74,233,421
72,942,395
18,266,368
56,917,043
8,918,559
2,554,285
82,257,042
14,390,228
2,555,165
-
40,679
9,238,598
346,842,068
$ 697,867,530","29
1
1
1
-
6
-
-
1
-
8
2
1
50
1
11
11
3
8
1
-
12
2
-
-
-
1
50
100","$ 143,345,272
7,640,581
5,263,072
3,518,454
1,796
54,025,729
76,405
727,892
5,386,334
348,435
49,211,768
13,569,533
1,586,151
284,701,422
5,318,228
81,314,778
70,756,496
18,311,892
54,022,923
9,217,889
2,240,032
80,032,681
14,160,961
7,648,043
545,919
26,265
19,027,821
362,623,928
$ 647,325,350","22
1
1
1
-
8
-
-
1
-
8
2
-
44
1
13
11
3
8
1
-
13
2
1
-
-
3
56
100"
