投資公司名稱,被投資公司名稱,所在地區,主要營業項目,原始投資金額,,期末持有,,,"被投資公司
本期損益","本期認列之
投資損益(註6)",備註
,,,,本期期末,去年年底,股數,比率,帳面金額,,,
"Delta Electronics
(Thailand) Public Company
Limited","DLS Electronic Co., Ltd",泰國,電子零組件之製造,$ 4 92,$ 4 92,"5 0,000",1 0.00,$ 3 48,$ 1 66,$ 1 7,(註14)
"Delta Electronics
(Thailand) Public Company
Limited","DELTA ELECTRONICS PHILIPPINES
INC.",菲律賓,"電源管理、汽車、自動化及能
源基礎設施解決方案之銷售及
系統建置業務","6 ,781",-,"1 1,781,596",1 00.00,"6 ,781",-,-,(註16及註20)
晶睿通訊股份有限公司,睿盈投資股份有限公司,台灣,創投公司,"1 73,696","1 73,696","1 7,369,635",1 00.00,"2 22,314","5 ,272","4 ,457",(註11)
晶睿通訊股份有限公司,"Vivotek Holdings, Inc.",美國,控股公司,"3 1,555","3 1,555","1 ,050",1 00.00,"4 19,629","1 ,457","1 ,457",(註11)
晶睿通訊股份有限公司,Vivotek Netherlands B.V.,荷蘭,銷售服務,"1 1,418","1 1,418","3 ,000",1 00.00,"2 5,855","1 ,046","1 ,046",(註11)
晶睿通訊股份有限公司,Vivotek (Japan) Inc.,日本,銷售服務,"1 7,939","1 7,939","6 ,600",1 00.00,"2 2,870",2 06,2 06,(註11)
"Vivotek Holdings, Inc.","Vivotek USA, Inc.",美國,"網路攝影機及相關零組件之銷
售","2 8,480","2 8,480","1 0,000,000",1 00.00,"4 69,244","1 ,595","1 ,595",(註10)
睿盈投資股份有限公司,新思代科技股份有限公司,台灣,照明設備之銷售,"1 0,200","1 0,200","1 ,020,000",5 1.00,"2 ,350",( 4 88),( 2 49),(註12)
睿盈投資股份有限公司,高譽科技股份有限公司,台灣,"網路攝影機及相關零組件之銷
售","3 4,045","3 4,045","3 ,372,500",5 6.21,"9 7,552","7 ,679","4 ,316",(註12)
睿盈投資股份有限公司,"Wellstates Investment, LLC",美國,"投資及租賃商業不動產相關業
務","3 4,859","3 4,859",-,1 00.00,"7 7,005","1 ,134","1 ,134",(註12)
