進（銷）貨之公司,交易對象名稱,關係,交易情形,,,,"交易條件與一般交易不同
之情形及原因",,應收（付）票據、帳款,,備註
,,,進（銷）貨,金額,"佔總進（銷）貨
之比率",授信期間,單價,"授信
期間",餘額,"佔總應收
（付）票據、帳款
之比率",
台達電子工業股份有限公司,中達電子(江蘇)有限公司,子公司,營業收入,"$ 1 35,629",0 .48,請款後起算70天,,,"$ 1 33,912",0 .64,
台達電子工業股份有限公司,Delta Electronics India Pvt. Ltd.,子公司,營業收入,"1 13,219",0 .40,貨到月結90天,,,"1 47,054",0 .70,
台達電子工業股份有限公司,Delta Electronics (Netherlands) B.V.,子公司,營業收入,"1 51,049",0 .54,月結70天,,,"1 52,622",0 .72,
台達電子工業股份有限公司,"Delta Electronics Int’l (Singapore)
Pte. Ltd.",子公司,營業收入,"5 ,600,381",1 9.86,月結70天,,,"2 ,512,589",1 1.35,
台達電子工業股份有限公司,"Delta Electronics (Thailand) Public
Company Limited",子公司,營業收入,"2 ,082,937",7 .39,月結70天,,,"1 ,444,842",6 .85,
台達電子工業股份有限公司,DEI Logistics (USA) Corp.,子公司,營業收入,"3 ,799,958",1 3.48,貨到月結90天,,,"4 ,070,806",1 9.31,
台達電子工業股份有限公司,Delta Electronics (Americas) Ltd.,子公司,營業收入,"4 ,397,958",1 5.60,月結70天,,,"3 ,761,835",1 7.85,
台達電子工業股份有限公司,DELTA ELECTRONICS (USA) INC.,子公司,營業收入,"9 04,481",3 .21,月結70天,,,"6 70,926",3 .18,
台達電子(東莞)有限公司,台達電子企業管理(上海)有限公司,聯屬公司,營業收入,"1 ,629,360",1 3.26,月結70天,,,"1 ,860,146",2 3.85,
台達電子(東莞)有限公司,"Delta Electronics Int’l (Singapore)
Pte. Ltd.",聯屬公司,營業收入,"1 0,648,280",8 6.66,月結70天,,,"5 ,935,870",7 6.11,
中達電子(江蘇)有限公司,台達電子企業管理(上海)有限公司,聯屬公司,營業收入,"4 ,284,533",2 4.10,月結70天,,,"4 ,929,883",4 6.34,
中達電子(江蘇)有限公司,中達電子(蕪湖)有限公司,聯屬公司,營業收入,"1 02,647",0 .58,月結70天,,,"1 00,114",0 .94,
中達電子(江蘇)有限公司,"Delta Electronics Int’l (Singapore)
Pte. Ltd.",聯屬公司,營業收入,"1 3,295,617",7 4.81,月結70天,,,"5 ,524,511",5 1.93,
台達電子企業管理(上海)有限公司,中達電通股份有限公司,聯屬公司,營業收入,"4 ,004,708",4 8.12,月結70天,,,"4 ,623,867",4 9.00,
台達電子企業管理(上海)有限公司,台達電子(平潭)有限公司,聯屬公司,營業收入,"5 14,404",6 .19,月結70天,,,"5 89,644",6 .25,
台達電子企業管理(上海)有限公司,"Delta Electronics Int’l (Singapore)
Pte. Ltd.",聯屬公司,營業收入,"4 79,417",5 .77,月結70天,,,"4 86,257",5 .15,
台達電子企業管理(上海)有限公司,"Delta Electronics (Thailand) Public
Company Limited",聯屬公司,營業收入,"2 65,016",3 .19,月結70天,,,"2 67,560",2 .84,
