,,114年3月31日,,113年12月31日,,113年3月31日
,,"$ 15,071,854",,"$ 9,491,317",,"$ 4,113,658"
,,"1,071,013",,"466,624",,-
,,"3,357,683",,"2,600,948
-",,"2,688,332"
,,-,,,,"6,391,097"
,,"9,328,454",,"9,123,943",,"8,084,035"
,,"$ 28,829,004",,"$ 21,682,832",,"$ 21,277,122"
