持 有 之 公 司,有 價 證 券 種 類 及 名 稱,"與 有 價 證 券
發 行 人 之 關 係",帳 列 科 目,期 末,,,,備 註
,,,,"股數／單位
數 （ 仟 ）","帳 面 金 額
（外幣為仟元）",持股比率（％）,"公 允 價 值
（外幣為仟元）",
TSMC Global,"Benchmark 2019-B15 Mortgage Trust
Honda Auto Receivables 2023-1 Owner
Trust
Toyota Auto Receivables 2023-C Owner
Trust
Benchmark 2018-B3 Commercial Mortgage
Trust
Ford Credit Auto Owner Trust 2020-Rev1
Honda Auto Receivables 2021 - 4 Owner
Trust
JPMDB 2017-C7
GS Mortgage Securities Trust 2015-GC32
Hyundai Auto Receivables Trust 2021-B
Citigroup Commercial Mortgage Trust
2016-C1
Toyota Auto Receivables 2024-A Owner
Trust
Benchmark 2020-B18 Mortgage Trust
Citigroup Commercial Mortgage Trust
2015-P1
Citigroup Commercial Mortgage Trust
2015-GC27
Wells Fargo Commercial Mortgage Trust
2020-C55
Toyota Auto Receivables 2023 D Owner
Trust
Ford Credit Auto Owner Trust 2023-C
Ubs 2018-C13
Ford Credit Auto Owner Trust 2023-A
GM Financial Consumer Automobile
Receivables Trust 2023-2
Benchmark 2018-B4 Mortgage Trust
Bmark 2018-B5
Mhc Commercial Mortgage Trust 2021-Mhc
Dolp Trust 2021-NYC","－
－
－
－
－
－
－
－
－
－
－
－
－
－
－
－
－
－
－
－
－
－
－
－","透過其他綜合損益按公允
價值衡量之金融資產
〃
〃
〃
〃
〃
〃
〃
〃
〃
〃
〃
〃
〃
〃
〃
〃
〃
〃
〃
〃
〃
〃
〃","-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-","USD 2,551
USD 2,505
USD 2,503
USD 2,470
USD 2,426
USD 2,417
USD 2,393
USD 2,385
USD 2,339
USD 2,298
USD 2,294
USD 2,225
USD 2,188
USD 2,125
USD 2,124
USD 2,123
USD 2,120
USD 2,052
USD 1,982
USD 1,969
USD 1,944
USD 1,924
USD 1,912
USD 1,856","不適用
不適用
不適用
不適用
不適用
不適用
不適用
不適用
不適用
不適用
不適用
不適用
不適用
不適用
不適用
不適用
不適用
不適用
不適用
不適用
不適用
不適用
不適用
不適用","USD 2,551
USD 2,505
USD 2,503
USD 2,470
USD 2,426
USD 2,417
USD 2,393
USD 2,385
USD 2,339
USD 2,298
USD 2,294
USD 2,225
USD 2,188
USD 2,125
USD 2,124
USD 2,123
USD 2,120
USD 2,052
USD 1,982
USD 1,969
USD 1,944
USD 1,924
USD 1,912
USD 1,856",
