,,114年1月1日至3月31日,,113年1月1日至3月31日
購置不動產、廠房及設備,,"$ 33,537,505",,"$ 26,343,688"
加：期初應付設備款,,"33,814,970",,"32,071,277"
減：期末應付設備款,,"(24,094,157)",,"(25,840,509)"
匯率影響數,,"577,020",,"604,069"
本期支付現金,,"$ 43,835,338",,
"處分不動產、廠房及設備
加：期初應收設備款
減：期末應收設備款",,"$ 1,030,304",,"$ 1,619,056"
,,"2,923,693",,"2,471,515"
,,"(2,442,251)",,"(2,475,834)"
"匯率影響數
本期收取現金",,"34,454",,"104,986"
