"本 期 期 末 累 計 自 台 灣 匯 出
赴 大 陸 地 區 投 資 金 額
（ 外 幣 為 仟 元 ）","經 濟 部 投 審 會 核 准 投 資 金 額
（ 外 幣 為 仟 元 ）","依 經 濟 部 投 審 會 規 定
赴 大 陸 地 區 投 資 限 額"
"$ 49,461,079
( USD 1,596,000)","$ 119,412,667
( USD 3,596,000 )","$ 2,199,429,752
（註三）"
